Lekwungen Word,English Translation
ʔásəs,front; be in the front
ʔátx̣əs,canoe; war canoe; automobile; car (manner of conveyance
ʔáwə,"no, not (to be not), never (introduces negative statements)"
ʔáwənə,nothing; to be empty; be without
ʔáwənə sén,"nobody; no one: ""without anyone"""
ʔáwəs ʔay̓,"ungrateful, unpleasant: ""his not being good"""
ʔáx̣ʷnəs,go at (toward)
"2. in 1911. They built five canoe houses facing the beach. From East to West, they were owned by Chief Michael Cooper, William Roberts, Jimmy Fraser, Jimmy Johnny (Father of Sophie Mishael), and Alex Peter with Jack Dick. The",3. southern bank of the peninsula was used as a burial midden.
ʔáy̓ələs,smooth; really good (round)
ʔéʔčəx̣,crab; Dungeness crab
ʔéʔlələŋs,houses; his/her/their houses
ʔéʔəɬ,hurry; speed up a little
ʔéč̓ət,"wipe, rub"
ʔéenəkʷ,today
ʔékʷə,really should (emphatic imperative)
ʔéɬeʔ,here; be here; be close to (the speaker)
ʔéməq̓t,deliver it
ʔénəŋ,rise
ʔénəŋ cə sqʷəqʷə́l̓,sunrise
ʔénəŋ tə sqʷəqʷə́l,sunrise
ʔénət,allow; comply
ʔésxʷ,"seal. Phoca vitulina. The rights to sealing rocks were oened by individual families. Seals might be clubbed on the rocks or netted or harpooned in a the water by a small crew (Barnett 1955:99, 251; Suttles 1952:10)"
ʔéx̣əŋ,done; said; say
ʔéyət,"cod, (Gadidae) , ling cod. Cod were speared in the summer and early fall, and sun-dried or smoked. Oil was saved to pour on ceremonial fires to increase the blaze (Gunther 1927:199; Stern 1934:49)"
"2. could be ceremonially distributed to enhance the prestige of the giver (Suttles 1960:301). Food was not considered wealth, but a surplus might be given away with the expectation that wealth would be received in return",3. (Suttles h.the 1960:298).
ʔíʔɬən sən; ʔíʔɬn̓ sn̓,I am eating
ʔíc̓əŋ,"clothed, be clothed; dressed"
ʔíc̓əŋ,clothing
ʔíɬn̓,eat
ʔíɬn̓ səʔ,will eat
ʔíɬən sxʷ ; ʔíɬn̓ šxʷ,"eat, you eat"
ʔíɬən; ʔíɬn̓,"eat, to eat"
ʔín̓ət,saying what
ʔíŋəs,grandchild
ʔíŋət,step on it
ʔíŋətəs,step on it (he/she/it/they)
ʔítət,"sleep, be asleep"
ʔítət sn̓,sleep (I am/was asleep)
ʔíx̣ət,scrape; it scrapes
ʔə,"indirect particle that shows the object of an (intransitive) verb; comes before a pronoun. Similar to prepostion; with, that, to, of"
ʔəʔɬčél̓ə,first; be before
ʔəc̓eŋ,dressing; getting dressed
ʔəkʷáʔsə,show you
ʔək̓ʷaʔst,learning it (to be learning)
ʔək̓ʷast,learn it
ʔək̓ʷastəŋ,it is learned; taught; shown (to be shown); be taught
ʔəleʔnaŋə,hear you
ʔəlečə́x̣,crabs
ʔəléʔnəxʷ,"hear (by mistake), overheard"
ʔəlénəŋ,hear; listen
ʔəlésxʷ,seals (plural)
ʔəɬčəx̣,halved; be half; cut in half
ʔəɬčə́x̣əɬ,half; be a half
ʔəɬsmán̓č,chewing pitch (gum)
ʔəɬtelŋəxʷ,person; a people
ʔəɬtélŋəxʷ,"person, people, to be human"
ʔəɬ-,"prefix meaning ""while""?"
ʔəɬəninəs čqʷínəs,heartburn
ʔəƛ̓,from; at a place; with; of
ʔəmʔámənə,hunt (be a great hunter)
ʔəmneʔiŋ,hunt; be a hunter
ʔəmáttəŋ,sit down (command); be sat down
ʔəméʔmən,little; be small (stative verb)
ʔəméʔmən sčaɬ,kindling (little firewood)
ʔəmət či,sit down
ʔəmətʔew̓txʷ,toilet
ʔəmətíɬ,urinate; go to the toilet
ʔəm̓əw̓,pigeon
ʔənʔsmánəč,gum (your gum)
ʔənʔán,very; be so
ʔənʔéʔs,come; she/he/they come
ʔənʔéʔtəs,bring
ʔən̓níxʷ,keep still
ʔən̓šxʷəɬnnáŋət,why/how you finally (could) eat
ʔəŋʔíŋəs,grandchildren
ʔəŋítəs,hits; pounds; he/she/they pound him/her/them (unconfirmed)
ʔəqʷʔíqʷiyəqʷ,great great grandparents; great grandchildren
ʔəqʷəléc,behind (to be behind)
ʔəs,relativizer; follows question constructions
ʔəsčéqəɬ,worn out
ʔəsč̓éy̓ən,formed; be shaped
ʔəsléc̓əɬ,"crowded, full; to be a crowd"
ʔəslélə,fixed; be ready; prepared
ʔəsɬə́lʔx̣ʷ,frozen; being frozen;
ʔəsɬə́lʔx̣ʷtxʷ,be frozen; cause it to be frozen
ʔəsméq̓əɬ,full of food; be full
ʔəsnáw̓əɬ,"in, be inside"
ʔəsqéqəl̓,not know how (to do something)
ʔəsq̓ep̓əɬ,gathered together; they are gathered together
ʔəsq̓épəɬ,foreign people; people not of your group or tribe
ʔəsq̓épəɬ,all together
ʔəsq̓ʷálʔəɬ,roasted; cooked
ʔəsteʔnəɬ,"row, line, single file"
ʔəsták̓ʷəɬ,split; it is split
ʔəstáqʷəɬ,tight
ʔəstésəɬ,near; be beside; close; next to
ʔəst̓ésəɬ,broken; be broken; shattered
ʔəsxʷtéqəɬ,closed; it's closed; all closed up
ʔəsxʷáyəɬ,"awake, be awake; stay awake"
ʔəsxʷéyʔəɬ,"awaking, being awake; staying awake"
ʔəsx̣éčəɬ,"dried, be dried"
ʔəsx̣éɬəɬ,sick; is sick; he is (very) sick
ʔəsx̣éɬəɬtəŋ,sicken; become sick
ʔəsx̣éx̣əɬ,lie on your back
ʔəsx̣ʷəní́̀ʔeŋ,how is it? how is s/he? ; which; how much; how many
ʔəsáʔəy,prepared; be prepared
ʔəsáʔəytəŋstxʷ,it was prepared; it was made to be ready
ʔəsíʔ,this (female) person; these (female) people. Used when person is nearby
ʔəsíqən,before; be before (in space); be in front of;
ʔəškʷéq̓əɬ,open; be open; it is opened
ʔəštéqəɬ,closed; it's closed; all closed up
ʔətiʔə kʷəčil̓,today; this morning
ʔətíʔə,here; at this place
ʔətíʔə təŋən,tonight
ʔəxʷelŋəxʷ,Indigenous person; be an Indigenous person
ʔəxʷílŋəxʷʔéw̓txʷ,"community house; ""Indigenous people's longhouse"""
ʔəx̣in,where
ʔəx̣in kʷə,where is it?
ʔəx̣síʔnəŋ,shave
ʔəx̣ʷísət,sweeping
ʔə-,"prefix is part of the Actual aspect, like ""-ing"" in English"
ʔəńšxʷʔəláq̓ʷəʔ (S.M. šxʷáʔləq̓ʷaʔ),siblings (your siblings)
ʔə́mət,sit; crouch; squat
ʔə́məttəŋs,sit (set down / made to sit)
ʔə́nəxʷ,stop
ʔə́qʷiyəqʷ,great great grandparent; great grand child
ʔə́sə səw̓,I; me (female)
ceʔe,that/ those (not necessarily near)
ceʔə,"this, that one (far away or out of sight)"
cəw̓,"pronoun, article, visible"
cəw̓níɬ,"that particular person, he, she, him, it is (near to listener)"
cəw̓nəkʷíliyeʔ,you folks
cəw̓nəníʔɬiyeʔ,"they, them"
cəw̓x̣ləm,"Cowichan hero and warrior from q̓ʷəmiʔíqən who had tewnty wives. In one tale he is beheaded by a runaway slave, in another he is strangled by one of his wives. It was said no man could kill him."
cx̣it,stony; be covered with pebbles; be in a stony place; beach
céʔənəŋ,that particular one
céstən,antler; horn
cəʔéniŋ,that particular thing
cəlpəltxʷ,"Cowichan hero who defeated the kɫekʷət people when they attached the Cowichan and Songish, probably at Lake Cowichan. The name may mean ""he is very powerful""."
cəlíʔɬčə,Placename: South SaanichTerritory north of x̣ʷsepsəm (Xwsepsum) and south of Saanich. Also spelled Tsuli'lhchu
cən,your
cəŋéʔɬ,pack baby on back
cəŋéʔt,pack on one’s back
cəwx̣íləm (cox̣iləm),hero (mythical Cowichan hero)
c̓aʔkʷələč,seven hundred
c̓aʔq̓ʷ,rotted; be rotten; wormy; decayed
c̓aləméen,arrows
c̓am̓,bone
c̓aw̓,disappear
c̓eʔkʷə́sət,wash oneself
c̓eʔnəm,shake (religion)
c̓ekʷétəŋ,washed; be washed
c̓eq̓ʷət,stab it/him/her; poke
c̓ew̓,tommy cod
c̓iʔíɬət sn̓ ʔə mək̓ʷ,I thank you everyone
c̓iʔít,thank with wealth; especially to thank a co-parent-in-law for his gift of food by presenting him with wealth.
c̓imen,arrow (unconfirmed)
c̓iqt,northern flicker
c̓kʷas,wash one ̓s face
c̓kʷásəŋ,wash; have ones face washed
c̓kʷésət,wash oneself
c̓ɬx̣éʔem,"co-parent-in-law after the death of one member of the married pare of offspring: ""those who weep together"""
c̓ɬáŋəsət,feel cold oneself
c̓qʷál̕əčə,gloves
c̓q̓ʷŋəsə́t,rotting; starting to rot or spoil
c̓q̓ʷítəŋ,stabbed; be stabbed; poked
c̓q̓ʷítəŋ,stabbed (be stabbed); poked
c̓x̣ey̓t,gravel; pebbles (as on a beach)
c̓x̣ə́ŋən,spear; war spear
c̓áʔɬəŋ,get cold; feel cold
c̓áʔməŋ,wet; be wet
c̓ákʷəs,seven
c̓ákʷəs néč̓əw̓əč,seven hundred
c̓ákʷəs sčəlénəŋ,seven years old
c̓ámʔəl̓,bony; be bony
c̓ám̓ənčən,bracelet
c̓áŋəs,"Placename: This approximate village site belonged to the Ts’angus people. They were said by Sophie Mishael and Ned Williams, to have lived in the bay on Albert Head."
c̓áqʷəŋ,"rotten, to be rotten, be spoiled, wormy"
c̓áq̓ʷəŋ,rot; to decay
c̓á́kʷəɬšéʔ,seventy
c̓éʔc̓eʔ,atop; be on top
c̓éʔkʷət,wash; be laundered (as clothing); laundry
c̓éʔət,put it up; put it on; put it upon
c̓éčəlləʔ,kingfisher
c̓éleʔ,heart
c̓éq̓ʷət,stab it
c̓íʔit,"thank, to thank someone; thank with wealth"
c̓íŋəl̓,"close; be close, almost arrived"
c̓ísən,nail; spike; tack
c̓íxʷəŋ,please; have pity; feel pity
c̓əʔkʷetəlxʷ,wash us
c̓əʔkʷsénəŋ,wash feet
c̓əʔkʷsísəŋ,wash hands
c̓əʔkʷéqʷəŋ,wash one's hair
c̓əkʷésət,washed him/herself
c̓əkʷəlkʷə́təŋ,washed; be laundered (as clothing); laundry
c̓ək̓ʷáʔmaʔ,black cap mushroom (unconfirmed)
c̓əlc̓ə́stəŋ,many being hit
c̓əlm̓č̓iyi,ants
c̓əlx̣ʷəm̓ə́čən,"November, mid-winter: ""shining ice on the ground"""
c̓əm̓éen,arrow
c̓əpsiyásən,squirrel
c̓əq̓ʷnistən,safety pin
c̓əwʔ,perish
c̓əxʷʔkʷəs,twenty
c̓əxʷʔkʷəs ʔiʔ kʷ čəsə,twenty-two
c̓əxʷʔkʷəs ʔiʔ kʷ nəc̓ə,twenty-one
c̓əx̣tənitəŋ,poisoned; be poisoned
c̓əyə,seal (fur seal)
c̓ə́mč̓iyi,ant
c̓ə́ŋətəŋ,bitten; be bitten
c̓ə́ŋ̓əɬ,chest; thoax
c̓ə́ŋ̓ət,bite
c̓ə́q̓əŋ,drip; leak from above
c̓ə́x̣c̓əx̣,stinging nettles. Boiled nettles were fed to women in labour to ease childbirth; nets for trappng birds were made of nettle twine.
ččéʔey,workers
čč̓ə́məqʷ,pretend great-grandmother
čeʔči,maker; worker; diligent (someone who works well)
čeʔek̓,kettle; teapot
čeʔyənc̓,hold steady
čeɬ,just now (past); finally; suddenly; as soon as
čeɬ,right now
čen ʔəw̓ kʷɬsʔéləxʷ,starting to get really old; growing really old
čeqʷəŋin,"Placename: Territory to east of xwsepsum lands, in what is today̓s Oak Bay. Also spelled Chekonein."
čeq̓,"fall (forward), fall down while walking (trip)"
čeq̓s,"falls, he/she/it falls"
čex̣ʷ,melt; to melt
čiʔetxʷ ʔax̣ʷ ʔə səw̓niɬ,they worked over her
čiʔetəɬ,hunting
čiʔéqn,snow
2. of their homes being at the bottom of a hill. This area is called McNeill Bay or Shoal Bay today. This is the name of the family which signed the Douglas Treaty (spelled Chilkowitch on the treaty). Chief číɫəm (spelled,3. Chayth-lum on the treaty)of this family was the highest Songhees chief.
čisélqəŋ,following
čiséləqəŋ,follow
"2. Klallam First Nation. They are now called Scia’new). The name most likely comes from a word meaning fish. The Lək̓wángən word is sčeenəxʷ (schenuhw). There is also a reefnet site with the same name, to the east of the mouth",3. of the bay.
čiyə́wən,spirit dancer; curer
čkʷeʔ,"own, possess, have ownership of"
čɬʔəsə,"I made it happen, It was me"
čɬniɬ,he/she/they made it happen
čɬníŋəɬ,we caused it
čɬnəkʷíʔliyeʔ,you folks made it happen
čɬnə́kʷə,"you, the cause"
čɬqən ̓xʷ,"starve, s/he it starves"
čɬ- or -č-,"emphatic particle, very, really"
čɬət,thicken it
čƛ̓iʔ,liked no longer
čƛ̓iʔ,wished for
čneʔ,have a name; his name
čqʷət,burn it
čséʔlətxʷ,two dollars
čséləqəŋ,follow
čsəléʔə,from there
čteʔt,asking
čteŋ,asked (what was asked)
čtet,ask
čtésə,ask you
čtétəŋ,asked by
čtəʔ,"maybe, probable (particle)"
čtə́ŋ̓əxʷ,farm
čx̣étsə,splitting
čx̣əʔlə́w̓sə,chop wood
čx̣ət,"chop it, split it"
čx̣əts kʷə,split it (command)
čx̣ʷéɬs,spit
čyəwən,sing a power song
č-,"prefix meaning ""have"""
čáʔləqʷ,inland; be in the woods; up away from the water; up the mountain
čákʷəs,use; wear; put on
čáqʷəɬ,"burning, burned (burnt); on fire"
čáqʷəɬ cə šíʔšəč̓,forest fire (the forest is burning)
čáq̓ʷəŋ,sweat; be sweaty
čéʔčət,"fixing it, mending, repairing"
čéʔet,vomit (to vomit something)
čéʔi sn̓,I am working or knitting
čéʔlə,before; be before
čéc̓ət,"fix, mend, repair"
čéčəw̓txʷ,build a house
čéčəs,follow; pursue; chase
čéčət,work on it; fix; mend; repair
čéčət tə snə́xʷəɬ,fix the canoe
čéeʔə,late spouse's kin
čéləwt,roll; roll over
čéx̣ʷəŋ,melt; be melted
čéx̣ʷət,melt it; it's melted; being melted
čéyʔəs,following;
čéyči,"worker, maker"
číʔčiʔq̓nʔ,mink
číʔčés,"chasing, pursuing, following someone or something"
číʔiqʷən,"candle, lamp, electric light"
číʔyəq,snowing
číyəwʔín,magician; one who possesses knowledge of magic
číkmən,iron
čə ʔéʔləŋ,house; non existant house
čə səléʔeƛ̓,near; be somewhere near a place
"1. Indefinate article. Indicates incomplete, indefinite, discontinued, or pretended action, person, object, or amount. May occur in question sentences or when talking about unmarried people, deceased family, or about a",2. non-specific time or place in the future or past.
čəʔayʔɬ,Okay; alright; Expression of assent
čəʔáwəs,using something; wearing something
čəʔáyʔɬ,"Expression of assent See /ʔáyʔ/, good'"
čəčtənəxʷən,owls
čəčtə́nəxʷ,owl (great horned owl)
čəčínəs,teeth
čəčítqəs,"peek out of hole, window or crack"
čəheləʔ,"you folks , pronoun"
čəlčə́qʷ,burn; set on fire
čəlew̓,"pass by, out do"
čələw̓,turn
čəlénəŋ,history of ancestors; true story; heritage
čəléŋən,heritage
čəl̓éqəɬ,yesterday (to be yesterday)
čəl̓ə́w̓təs,turn it over (she/he/they turn it over
čəɬ,"I encourage you to, I suggest, you should"
čəɬat,thick in width
čənʔc̓ɬáŋəsət,"autumn; September: ""when on is starting to feel cold"""
čənʔc̓áʔɬəŋ,"winter; ""when it is cold"""
čənʔtéŋ,when
čənʔ-,"prefix meaning ""time of"" or ""season"""
čənʔáyiʔ,"June, summer moon: ""when good weather is coming"""
čənčéenəxʷ,big run of fish; lots of fish
čənéen̓xʷ,fish; be fishing
čənén̓əxʷ,fishing ground
čənəs,bury; plant
čənəsə,bury you
čən̓c̓áʔɬəŋ,winter
čən̓k̓ʷéʔləs,summer
čən̓íŋəɬ,plant; to plant; sowing
čəŋéɬč,oak tree (Garry Oak or White Oak); quercus
čəŋənə,children (developing in the womb or eggs)
čəq,"big, large; swell; get bigger"
čəq ʔéʔləŋ tə́ŋəxʷ,big house floor
čəq skʷéčəl,Easter; Big Day
čəq swáy̓qeʔ,"big man, headman"
čəq tə st̓éčəŋ,"low tide: ""big tide"""
čəqsát,enlarge; make big; swell
čəqʷ,burn (be burned)
čəqʷ sən,burn (I got burned)
čəqʷnəxʷ,burn it (unintentionally)
čəqʷə́w̓sə,fire; be on fire; make a fire
čəsčéʔsə,two at a time
čəsčəstxʷ,two each
čəsɬéni,unmarried woman; bride
čəswáy̓qeʔ,bachelor; unmarried man; groom
čətqásəŋ,peep; peer
čəx̣ʷə́ʔlətən,head anchor lines (of a reef net)
čə-,unidentified prefix
čə́kʷən,Placename: This was the name for what is now Secretary Island near entrance to Sooke Inlet.
čə́məx̣,"pitch, resin. Used as chewing gum and for illumination and startig fires durig ceremonials (Barnett t3)"
čə́məx̣,glue; resin; pitch
čə́nʔət,burying it
čə́nəs,tooth
čə́nətəŋ,buried; it/he/she was buried
čə́sə,two
čə́šə; čsaʔ,"abdomen, stomach"
č̓č̓eʔwiʔ,little dish
č̓č̓əléʔwiʔ,little dishes (uncofirmed)
č̓ec̓íŋəɬ,sewing; be sewing
č̓eŋ̓,arrive home
č̓eŋ̓s,home (he/she arrived home)
č̓eŋ̓təŋ,"brought home, be brought home"
č̓kʷəx̣t,fry it
č̓q̓ʷə́lstn̓,fork
č̓q̓ʷə́ləŋ spəxʷ,baking powder
č̓seyʔíɬč,Douglas fir tree
č̓sey̓,Douglas fir
č̓sə́təlxʷ,hit us
č̓šálsəs,"claw, fingernail; talon"
č̓tíkʷəsəŋ,pack
č̓təŋ,crawl
č̓tə́t,"pack, pack up possessions; to move camp"
č̓éʔwiʔ,dish
č̓éc̓ ; č̓əc̓,sew
č̓éc̓ən,sewing needle
č̓éc̓ət,"sew it, mend it, repair it by sewing"
č̓él̓č̓əl̓əxʷ,loosened; be loose
č̓énət,straighten it; make it straight; correct it
č̓íʔsəŋ,growing
č̓íc̓ət,char; blacken; to char; turn to charcoal; blacken with charcoal; black face paint. Paint made from charred devil's club stalks
č̓íp̓ət,squeeze
č̓ísəŋ,grow
č̓əč̓áy̓əƛ̓,short (to be short)
č̓əč̓áy̓əƛ̓ ɬqélč̓,"February: ""short moon"""
č̓əkʷxíŋəɬ,frying; be frying
č̓ək̓ʷəɬp,spruce (unconfirmed)
č̓əléʔ,tree bark (any)
č̓əléʔwiʔ,dishes
č̓əl̓,labour; be in labour
č̓əl̓wéʔsəŋ,"December: ""taking up the canoes"""
č̓əmsayisən,"jaw, jaws"
č̓əméʔəl̓́; č̓əmiyəl,thin
č̓əm̓č̓əm̓íqʷ,"great-grandparents, great-grandchildren"
č̓ənʔésət,driving; steering a car or boat
č̓ənə́stəŋ,"steamed, be steamed, baked by steam"
č̓ənə́stəxʷ,"steam it, bake it with steam, cause to be baked"
č̓əŋ̓éxʷ,you get home
č̓əq̓,surprised; be surprised or impressed
č̓əsíqʷt,hit in the head (unconfirmed)
č̓ətəŋ,crawling
č̓əweʔčéx̣ən,"surf scoter or white-winged scoter, black duck, the largest scoter"
č̓ə́l̓č̓ələm̓,"childbirth, labour pains. During childbirth, the mother is secluded in a hut or behind a blanket partition in the house. She is assisted by a female doctor who gives her medications to ease her contractions."
č̓ə́sqən,eagle; eagle feather
haʔays,being alone
haqʷ,"smell, odour"
hay t̓ax̣ʷq̓ílət,afternoon
hayʔal̓,most; superlative state or condition (best; most; worst; oldest; youngest; etc.)
hay̓əw̓,bow of a canoe; front of a car
hay̓txʷ,cause to finish; stop; wean
hay̓əl̓ sx̣éʔes,"worst, be the worst"
heʔəy̓č,youngest
hek̓ʷ,"remember, recall"
hilʔələŋ,falling (from a height)
hiləŋ,fall (from a height)
his,long ago
his ləʔ,long time past
hiyásəŋ,"play, to play childishly"
háʔəqʷ,"stinking, give off a smell"
hákʷət staq̓ʷəŋ,whooping cough
háqʷnəxʷ,smell it (able to smell it)
héʔc̓əŋ,breathe
héʔek̓ʷ,remembering
héʔə,yes
hélə,"you folks, you (plural) c.f. sxʷ helə"
hésəŋ,sneeze (to sneeze)
héw̓t,rat
həléʔəy̓č,"youngest (ones), youngest sibling"
həlí,"alive, living"
həlísət,come back to life
həlísəts,it comes alive
həlítəŋ,brought back to life
hələŋíqən,Placename: village along Colquitz creek that connects Elk lake to Pəl̓qʷíc̓əŋ (Gorge waterway)
hən̓éʔ ɬeel,come to shore
həwʔé,not yet exist
həwa,return
həwíləŋ,change one's mind
kʷ kʷéčələs,tomorrow
kʷakʷáylačəts,Placename: likely the small island(s) between sc̓sn̓aʔəŋ and sqəŋinəs (Grant Keddie 2003 p.54)
kʷamləxʷ,root (any root)
kʷčələ,"cough up, spit up blood"
kʷeʔx̣cisŋ,moving the hand
kʷəw̓níɬ,"he, him, it is (out of sight of speaker)"
kʷəw̓xʷičəlaʔ,"Placename (kohweechela): Now called Tod Island, used to be called Jimmy Chicken Island and was owned by Jimmy Chicken, Sophie Mishael's grandfather. This the first island near the mouth of Bowker creek in Oak Bay."
kʷiʔx̣sísəŋ,knitting
kʷiʔə,that one (not visible; hypothetical; distant)
kʷil̓,appear; show up; become visible
kʷɬʔay̓,"improve, start being good"
kʷɬʔəw̓,already then (not translateable)
kʷɬʔi,already now (not translateable)
kʷɬʔiʔ,now; happening now
kʷɬʔəc̓eŋ,start dressing; start getting dressed; already be dressed
kʷɬʔəsáʔay̓,"begin to get ready, start getting prepared"
kʷɬʔəsáʔəy,be prepared or ready; already prepared
kʷɬʔətátəŋ,"getting sleepy, begin to feel sleepy"
kʷɬc̓íŋəl̓,already be close
kʷɬčey,"work (beginning to work, going to be working)"
kʷɬčikʷəs ɬtə,we are getting tired
kʷɬčíkʷəs,"tired, become tired"
kʷɬčəlél,almost
kʷɬčə́qʷəɬ,catch on fire; begin to burn; burning
kʷɬəw̓,begin; start to
kʷɬhay̓,"finish (begin to be finished, going to stop, nearing the end)"
kʷɬhis,"long time ago, to be in the past (common phrase to introduce stories)"
kʷɬkʷéq̓əŋ,bloom; blossom; begin to flower
kʷɬkʷəčíl,"daybreak, start of the morning"
kʷɬɬeč,dark; getting dark; it's dark
kʷɬɬeel,land on the shore
kʷɬɬáŋəsət,autumn
kʷɬniɬ,as soon as; right away
kʷɬnə́čəŋ,begin laughing; start to laugh
kʷɬqəlét,going to repeat; already repeating; the following
kʷɬqʷelʔ,speaking; start speaking; already speaking
kʷɬq̓ʷéy,beginning to die; going to die
kʷɬsqsíkʷəs,"begin to drown; ""to be starting to be a drowned person"""
kʷɬsq̓ʷáʔq̓ʷəɬ,already dying; begin to die
kʷɬštəŋ,start walking
kʷɬt̓ələŋ,dying; starting to die; be going to die
kʷɬyeʔ,start to go; start to leave; just about to go
kʷɬíʔə,this that already happened (this is an approximation of a translation. The actual meaning is very reliant on context)
kʷs x̣ʷənʔéŋs,why; because
kʷseʔe,"particular thing (general, hypothetical, distant)"
kʷsəw̓níɬ,"she, her (out of sight of speaker)"
kʷukʷ,cook (English loan)
kʷánəŋət,run
kʷásən,star
kʷáyəx̣,salmon (dog or chum salmon)
kʷéʔnəxʷ,drop
kʷéʔət,release it; let go
kʷéʔəx̣sət,move oneself; stir oneself
kʷéʔəx̣t,"move, shake, stir it"
kʷéʔəx̣əŋ,move (be moved or shaken)
kʷéʔəx̣əŋ cə təŋəxʷ,"earthquake: ""the earth moves"""
kʷéləs,hide; conceal
kʷéq̓əŋ,bloom
kʷíʔwəntəl,fight with each other
kʷíkʷəx̣t,drive away; chase away a group
kʷín̓təl,fight
kʷítšən,Chinook; king salmon; spring salmon
kʷíx̣ət,drive away; chase away
kʷə,a; the; indefinite article
kʷəče (also kʷče or kʷəč),"therefore, that's how, why, how?"
kʷəčil̓,morning
kʷəčil̓ŋən,breakfast; morning meal
kʷəčmin,deer-hoof rattle
kʷəkʷeʔəx̣təŋ,"it gets moved, disturbed"
kʷəkʷéʔl,hiding
kʷəkʷél̓,"duck (sawbill), hooded merganser"
kʷəkʷínəs,orca pod; group of whales
kʷəkʷə́l̓əsət,capsizing it
kʷəlʔ,pour out; spill (dry or liquid); capsize
kʷəlʔast,pour on head
kʷəlʔnə́xʷ,spilling (by mistake)
kʷəlʔəsət,capsizing it
kʷəlnəxʷ,spill (by mistake)
kʷəlálaʔə́ɬp,alder
kʷəléʔls,partly showing; just coming into view
