english,lummi
Gadwal (_Chaulelasmus_),shes′-sün-na
Sea Ducks (_generic_),kwal′-hu
Golden eye (_Clangula_),hül-hül-lül′o-witl
Canvass back (_Aythya_),hókh-ko-nitsh
Spirit Duck (_Albeola_),"hekh-kün-né, k'k-hün′na"
(_Mergus Serrator_),sküm-mätsh
Cormorant,mäs-sitch
small kinds,skókh-kwa
Loons (_Colymbus_),"swa′kwün, hwekhw-kwüs"
Grebes (_Podiceps_),"skūl-küls′, hwa′nitsh, hwüt-tis"
Guillemot (_Uria_),"sko-kwa-kwüts, ko-kōkh-küts"
Beak,nük′sünsh (v. _nose_)
Wing,"ki-ka′al, sk-ká-al"
Feathers,"stli-päl-kan, stakw"
Quills,stli-käl
Down,skái-us
Tail,klap-ái-sin-itsh
Gall,müs-suns
Entrails,ük-khes
Gizzard,s'he′a-kwüns
Liver,t'ä-kas
Heart,tsä-li
BITE,"_to_, tsing-ut-tüng"
BLACK,nük-kikh
_large dark blue do._,chil-tál-kwüt
BLAZE,"_to_, hu-tâ-ku"
BLIND,klä-litsh
BLOOD,säs-tchin
_blow the nose_,"_to_, nük-lüng-sin′na"
_pale_,ni-hwékw
BOARD,"_planks_, sél-to"
BOIL,"_to_, kwül-lüs′"
BONE,"sōm, s'ham"
BORE,"_to_, _as with a gimlet_, slük′-wüt, nük-slük′wüt"
BOSOM (_female_),sküm′ma
BOW,tsá-cha-sen
BOWSMAN,"_of canoe_, he′u"
BOX _or chest_,kla-yüks
BOY,"s'ch-chi-álkh, schi′atl, stet-látkl"
BRACELETS,"_of brass wire_, tsa-met-chin"
BREAD,"_baked_, tau′ükh"
BREAK,"_to_, (_broken_), ti-kwüt-tüng"
BREAST (_chest_),tsüng′ütl
BRING,"_to_, an-ákh-hu"
BROAD,nükh-hwái-ük-w'tl
_younger_,"sái-tchin, ni-whâ-ka"
_it is burning_,ch'yükw
BURY,"_to_, (_to cache_), as-chá-nütl"
BYE AND BYE,o-wäs-hés
_shovel-nosed or burden canoe_,klai
_in the hand_,wi-kwo-nat′
CEDAR,"(_Thuja_), h'pai"
CERTAINLY,"_of course_, ho′wüs"
CHIEF,si-ám
CHISEL,"_of stone_, sh-we′ükh"
CHOP WOOD,"_to_, küm′müt"
CLEAR SKY,shu-ewk'h-hu
_it is clearing off_,ta-chil shu-auk-hu (_clear it comes_)
_flannel_,tsül′whüm
_it is clouding over_,ta′chil nükh-no′-wüs
COALS _of fire_,chtist
COAL,"_stone coal_, pe′chit"
COAT,snu-éks
White,pük′h
Black,nük-kikh
Red,"n'sük'h, n'sükw"
pale do.,ni-hwekw
Yellow,"n's-kwül-la-wün, nük-wái"
Green,"ni-tlut'h, nük-wái"
_come near_ (_imp._),n'at′la
COOK,"_to cook on hot stones_, k'k'pak"
COOKED,"_it is cooked_ (""_done_""), kwül"
COPULATE,"_to_, sün-nókh"
COUGH,"_to_, ta′kwün"
CRADLE,pat′süts
Crab,"bes-kwu, ä-chükh"
Spider Crab,ku-kwátl-shin
Stone Crab,ku-kwin-nó-wa
CRY,"_I_, ho-ang′sün"
COVER,"_to_, kle-hwés-tüng"
CUP,mem′tük'h
CUT _with a knife_,"_to_, shipt"
DANCE,"_to_, koi-el′lish, kwi-é-lish"
DARK,klatch
DAUGHTER,ng-ün′na
DAY,skwá-chil
DEAD,"kwái-i, ko-áikh"
DEEP,klütsh
"_amongst the forest or ""Stick"" Indians_",klalk-ten-na
_clams_,kükh-hül′la
DIRTY,tüng-hwäs′
DISHES,nu-wh'tsh-kwé-la
DOG,"sko-mái, ská-ha"
DON'T,kwe-ét
DOOR,"_also road_, satl"
DREAM,"_to_, kül-kül-la′sin"
DRESS _a skin_,"_to_, e′ükh"
_I drink_,kwa′kwa-sün
DRUM,"_to_, _as in conjuring or at dances_, kau-ä′tüng"
DRUNK,"_foolish_, as-hwákw, äs-hwákw-tün"
DRY,sel′-üp
DULL,"_as a tool_, kül-lás"
EAR,kwül′lün
EAR RINGS,sklau-ün
_earth_,"_dirt_, sé-yük"
_I eat_,"nit-sít-lin, it-lün-sün"
ECHO,sän-gün
EGG,"sn'lng-_á_nt, kwün-kwün-né"
EIGHT,"tas, tus-sä-la, tus-sält-hu"
ELBOW,"_or knee-joint_, kl-yüt-sé-tün"
ELK,"kwáu-watsh, ky-yétsh, kai-yéts"
END,"_the end of anything_, sä-ans"
EVENING,t'tang′en
EVERY^1 THING^2,mükw^1 stang^2
EXCHANGE,"_to_, i-yakt′"
EYE,kül′lüng
_one-eyed_,as-takws
FACE,sas
FAR,"chakw, chōkw"
FAT,"_adj._, tlet-lük"
FATHER,män
FEATHERS,"stá-kw, sl'pal′kan"
FEMALE,slá-ne
FETCH,"_to_, an-ákhw"
_to file_,chük-kás
FIND,"_to_, kwün′nüng"
FINGERS,chi-hals′
FINGER RINGS,hi-a′lüm-chis
_fir bark_,chül-li
_bring fire_,kwün-tatsh
FIRST,il-chä-la
Cod,ait
Flounder,o′we
Herring,slang-üt
Calorhynchus,skwâ-ma
Large cottus,skün-nákhw
Skate,kákh-kōkh
Oulakan (_thaleïchthys_),ti-a-ko-wa
Pencil fish,"_a small fish that comes in schools_, katl"
Salmon,_vide infra_
Scales,slés
Fins,ká-ting-üs
Tail,s'hüp-shin
herring roe,ché-mäsh
_small do._,ti-k_á_p
FIVE,"kl-kats, kl-kätch-sä-la, kütch-sält-hu"
FLEA,tát-a-tlüm
FLESH,"_meat_, slé-ükw"
FLY,"_a_, i-kwül′lüng, kwil-lüng"
FOG,spi-á-hwün
FOOD,"set-lün, sä-wün"
FOOLISH,as-hwäkw
FOOT,s'hün′na
FOOT-PRINT,hün-nüug′en
FOREHEAD,skwang′us
FORMERLY,kwüt-li sil-la
FOUR,"ng′oss, ni-s_á_-la, sält-hu"
FULL,hēts
FUNDAMENT,kla-wákh
GAME (_beaver teeth dice_),smi′-la-li
_get fire wood_,"_to_, tük-kütsh′"
GIRL,"st-hlá-ni, sln-chá-atl"
GLOVES,"ts'-kwá-lit-cha, no-sé-sin"
GNAT,chetsks
_go there,"a little further off_, yi-hé-wül-tül-lá"
GOOD,aikh
GRAVE,"_serious_, ōkw-hüm′"
GRASS,s'hüs-sái
GREAT,"hai-yikh′, ke-yikh′"
GREEN,"ni-tlüt′h, nük-wai"
GREY HAIRED,süts-üm-mékhw
GUM,"_resin_, _light wood_, smá-nitsh"
_to fire a gun_,"kwül-shül′la, (_Simiahmoo_) klüm-kwül′la"
_flints or caps_,kwül-län
HAIL,klüm-whái-la
HAIR,si-at′tün
HALF,kl-chükh′
_hammer_,"_a_, s'kwüs′chis"
HAND,sa′lüs
HANDLE,kült-shé-nün
HE,"nekhl, nitlkh"
HEAD,"s-kwáng-i, skwâng-i"
HEAR,"_to_, chis′a-lan"
HEART,"st-sá-la, tsá-la"
_In the sense of the mind_,h'ching-ing
HEAVY,hüm
HERE,ti-á-kwu
HIGH,ses'l
HONE,"_or whetstone_, shu-táks"
_side plates_,ha′met-sin
HUNCHBACKED,sko-mé-sin
HUNDRED,"nat′so-itch, nat′so-wütsh"
HUNGRY,kwá-kwi
_seal hunter_,nus-lám-ükh
HUNTING BAG,shit-t_á_-la
HUSBAND,n'stá-lush
I,us
ICE,"s'lel-lokh, sé-ma"
_it is in the house_,lâk-si á-lüng
INDIANS,"_people_, atl-tá-ling-hu"
INFANT,"s'chi-chái-an, kük-ké, n's-chái-in"
IRON,küm-tüm′
ISLAND,"kl-chas, s'kwüs-sá, sk'-sas"
JEALOUS,sā-si-si
KICK,"_to_, lüm-mat′"
KILL,"_to_, k'châ-tükh, ku-chel′la"
KISS,"_to_, nükh-wh'm-kwóst"
_two-edged_,wat-chä-han
_wooden_,sko′ten
LAKE,s'weltsh
LANCE,st-kwái-itch
LARGE,mokw
LAUGH,"_I_, nün-nái-yüng-sen"
_I am lazy_,sa′whüng-sin
LEAF,s'chá-sün
LEAP,"_to_, hwé-tüng"
_calf of leg_,kátl-sün
LEND,"_to_, ä-yil"
LIAR,kai-yá-kan
LIE,"_I_, hukh-kái-ya-kün"
LIGHT,"_adj._, stá-tu"
LIGHTNING,"cha-á-kwa-chük, cha-küts-o-kikh"
LIKE,shün-ángs
LISTEN,"_imp._, ni-hwú-i-yan"
_I live there_,läk-si tel-lá
LONG,"_in dimension_, klä-kut"
_the image or reflection in the glass_,kukh'-kütl
LOSE,"_to_, ek-kwa"
LOUSE,nüs′sün
LOVE,"_to_, nūs-tlé, nis-klé"
_for medicine_,shi-nám
_make fire_,"_imp._, chük-kós"
Horse,stük-ké-u
Elk,"kwá-watsh, kai-yéts"
Deer,smé-yis
buck,sist-ün
fawn,stül-la
Bear,"black, späs"
grizzly,kwái-et-chin
Big horn (_ovis montana_),kwe-kwüt-chen
Mountain goat (_aploceras_),"swét-le, pi-külkh-kan"
Racoon,blōps
Dog,skó-mai
Wolf,st'kái-ya
Cougar,shwo′wa
Lynx,sküts-a′müs
Beaver,skül-lá-u
Sea otter,tüm′müs
Land otter,s'katl
Seal,_á_ss′hu
Mink,"kai-yakh, s'ché-a-kün"
Weasel,kül-ké-la
Skunk,süp-pük
Squirrel (_sciurus_),tsip-si-á-sün
Striped squirrel (_tamias_),hwé-pe-chin
Kamass rat (_neotoma_),ná-wit
Mouse,kwa′tün
Mole,spi-lá-wün
Hare,ské-ka-was
Neck,tatsh-süns
Atlas joint,kük-kak-w'chis
Ribs,lük-h'ws
Marrow of legs,tüts-üsh′shins
Brain,smet-küs
Gristle of vertebræ,kwa-á-lüs
Liver,stük′chüng
Lights,spül′hu
Paunch,spukh
Wind-pipe,hwang-ün
Tail,klo′wak-üs
Skin,kwül-los
A dressed skin,hül-la-kan
Hair,s'chais
Hoofs,kwâ-nüngs
Kidneys,sün-süns
Sinews of legs,kli-é-mins
Sinews of back,tüng-é-sens
Horns,tses′tün
Heart,tsá-la
Os calcis,kát-lin-süns
Thighs,kat-chat-chs
Saddle or hind quarters,"as-satch-chatsh (chus-sa, _two_)"
Leg,sku-shüm-shins
Lower joint of do.,s'hün-nüs
Fore quarter,tä-los
Both do.,skül′la-hans
Fat,nas
Meat,slé-ük
MAN,swé-yi-ka
_I have many people_,n'gan al-tä-ling-hu ti-us
_cedar bark mat_,"tsüm′müt, lo′kwai"
MEND,"_to_, chüts-ül-kwüt′tün"
MERRY,nüks-né-ni
MIDDLE (_of length_),á-no-wüls
MISTAKE,"_to_, _either in speech or on the road_, mäl-min"
large clam (_Lutraria_),swäm
Cockle (_cardium_),sk′läm
Mussel (_Mytilus_),klâ-küm
Oyster,klokh-klokh
Whelk,sük-kwái-yükh
Barnacle,süm-mai-ya
Chiton,hül′lüng
Land snail (_helix_),wük-kük'h
Slug (_limax_),kai-yat′lin
Sea egg (_Echinus_),skwét-si
Sea slug (_holothuria_),sekt
Star fish,"kwül-lá-chi, kül-lä-sis"
Cuttle fish,ské-mūk
Shells,ká-ya-men
MOON,kl-káltsh
MORNING,skwá-chi
MOSQUITO,kwá-an
MOTHER,tān
MOUNTAIN (_same as rock_),sng-ánt
MOUTH,sá-sün
_go there_,tük′whist
_much food_,n'gün sét-lün
S'hui-áb,"_or_ S'hui-ám, _the pre-human demon race_"
or by incantation,similar to the Chinook tamánowas_
Shi-nám,_magic or medicine_
NAILS,"t'sâls, chi-sá-lis"
NAKED,klüt-säng
NAVEL,mük′h-hwoi-ye
NEAR,"kl-ké-a-ke, tüt-lé-kai, sti-talst′"
NEEDLE,chät′sün
_seine_,aukh-whói-yen
NEW,háu-wüs
NIGHT,snat
NINE,"tük'hw, tük-whä-la, tük-whalt-hu"
NO,"a-wá, a-wükh′, ókh-wa"
NOSE,nük′sün
NOSTRILS,skwá-lük-sen
NOW,"ti-a, ti-an′k'h"
1,nüt′sa
2,chüs′sa
3,klikhw
4,ng-oss′
5,kl-kats′
6,t'hünkh
7,tsákws
8,tats
9,tük'hw
10,o′pün
11,ó-pün it nüt′sa
12,ó-pün it chüs′sa
20,"tsük-küs, tsük-wüs"
30,kl-whl-shá
40,nüsl-shá
50,küts'hl-shá
60,tükh-hüm-shá
70,skwl-shá
80,tüsl-shá
90,to-wol-shá
100,nat-sa-wütsh
1000,o-päntsh
1,nat′sa
2,chá-sa
3,kl-whái-la
4,ni-sä-la
5,hl'-katch-sä′la
6,tükh-hüng-ä-la
7,tsük-sä-la
8,tüs-sä-la
9,tük-hwä-la
10,o-pün-ä-la
20,nt-su-ku-sä-la
1,tsak′wüt-hu
2,tch's-sält-hu
3,kl-whält-hu
4,sält-hu
5,kütch-sält-hu
6,tükh-hüng-ält-hu
7,sük-sält-hu
8,tüs-sält-hu
9,tük-whält-hu
10,o-pün-ält-hu
20,tsū-kw-sält-hu
OAK,s'chüng-altsh
OFF SHORE,tâl
_an old man_,"as-á-lokh, as-mes′sün"
ONE,"nüt-sa, nat′sa, tsak′wüt-hu"
OUT DOORS,"sét-lüng (a′lüng, _a house_)"
PADDLE,"_to_, ist"
PAN,"_or plate_, lä-sün"
PANTALOONS,sük-ké-us
PENIS,shel-l_á_
_white men_,hwa-ni′tum
PERHAPS,yükh-whá
PIGEON,"h'mo, hüm-o'h"
_large blanket pin_,kwün-né-sing
PIPE,päkw
PLANE,"_to_ (_boards_), shé-shüb; (_probably by onomatopœia_)"
Salmon berry,al-é-la
Barberry,skwâ-cha-sitsh
Red raspberry,tük′wüm
Gooseberry,küm-kwéltsh
Rose bush,kül-kél
Berries of do.,kül-lük
Snowberry bush,pat-saltsh
Berries of do.,p'pi-kái-yas
Spiræa,kads-sulch
Wild pea,hüm-kwai-á-sin
Wild rye,pshai
Prickly pear (_cactus_),tsä-ta
Thorns,chit-tüm-mäs
Equisetum,"mäkhw, á-is-küd"
Root of do.,ko-ma-lokh
Cat-tail rush,s_á_-kün
Tule or round rush,skwül-lül
Wild onion,swél-nitsh
Brake fern,sük-ka-an′
Roots of do. (_eaten_),skwi′yu
Small brake,tsük′kwa
Wood fern,s'hä-lüm
Liquorice fern (_an expectorant_),klüs-síp
Lichens,küt-che
Spanish moss,stül-hái-is
_a species of moss with a peppery taste,"used in medicine_, kät-si"
Sea weeds,chil-lüm
Kelp (_fucus gigantia_),kwá-ang
PLANT,"_to_, chin-eng-ütl"
PLENTY,n'gün
POINT _of anything_,i-sük′sin
POOR,"_wretched_, sül-lá-wa"
PORCUPINE QUILLS,tsüts-ül-kan
PORPOISE,kwá-nat
POSTS _for supporting the roof of a house_,kä-kan
POUND,"_to_ (_as seeds, grain_), kli-a-kwéng-ütl"
PRAIRIE,spelkh′han
PREGNANT,skä-kwi
_in a little while_,"h'wes′ta-ál, hu-as-ta-al′"
_suffixed to a verb_ (_copulative_),sün
_prefixed to noun_ (_possessive_),"n's, nūs"
Thou,nükw
Thy,ti-nük-wa
Thyself,tin-tsi-la
He (_that one_),"nel, nitlh"
We,"minglkt, kl-ming′ülkh"
Ye,nük-kwé-li-e
They,"nan-etl-ya, kw-si-a-hal-tün"
My canoe,nus-kwá n'shwâ-atl
Thy knife,süns-kwân's-päl-tün
His gun,tsä-ka po-yük
Our country,tsá-kwün tüng′-hu
Your house,tsüng a′nüng hä-la
Their father,k'sän män
PULL THE HAIR,"_to_, heng-ükw-tün"
_a coat_,hut-ché-tüng
PUT INTO,"_to_, _imp._, nu-ás ats-ches-sük"
PUT DOWN,"_to_, sä-kws"
RAIN,slüm′mōkh
RAISE UP,"_to_, sä-at"
RAKE,"_for taking herring and other small fish_, tlet′ha-men"
RAPID,"_in a river_, kwet′chüm"
RAW,hets
RED,"n'sük'h, n'sükw"
Father,män
Mother,tän
Husband,"my, n'stá-lüsh"
Wife,_idem_
Son or daughter,ng'ün′na
_if younger_,sái-tchin
_younger do._,sái-tchin
Grandfather,cha-mok
Grandmother,sé-la
Aunt,shé-ilsh
Father-in-law,slätl
Mother-in-law,_idem_
Brother-in-law,_idem (?)_
Sister-in-law,s'ng-at′hwun
Sister's husband,_idem_
Step father,n's-gnä-ün
Step mother,_idem_
Daughter-in-law,skwá-lo-wis
Husband's other wives,sái-ya
_small stream_,stá-ta-lo
ROAD,satl
_on a stick_,s'kwül′lüng
ROCK,sng-ánt
ROPE,hwé-lüm
RUN,"_to_, kwâ-nüng-üt, kwá-nüng-it"
SAD,"hätl-tin, hütch-ing′én"
_take in sail_,"_imp._, klüng-äs"
SALAMANDER,pét-h'yil
SALT,klat′lün
SAND BEACH,"s'het (_Lummi_), si-et′süm (_Kwantlen_)"
SAND SPIT,na-wa-létsh
SCOOP,"_for bailing a canoe_, tsang′tün"
SCRAPE,"_to_, ekht"
SCRATCH,"_a_, si-héks"
_I scratch_,hi-kék-sün
SEA,"klals, kt'hlals"
Spring,"tchin-kwé-lis, tchin-kwai-lus"
Summer,"kwá-lus (kwá-lis, _warm_) tchin-é-yi"
Autumn,"chits-at-lin, tsa-whéngst"
Winter,"chints-é-hüm, chin-sá-tütsh, sá-titsh"
SEE,"_to_, lang-üt, lang-it"
SELL,"_to_, hwi-mä′la"
SEVEN,"tsâkws, tsük-sä-la, sük-sält-hu"
SEW,"_to_, chets"
SHAKE HANDS,"_to_, kwün-sest′"
SHALLOW,shái-shüm
SHARP,ái-yas
SHARPEN,"_to_, _to whet on a stone_, t'kas"
SHAWL,süt-sá-müsh
"_""hickory"" shirt_",hütl-pé-wün
SHOES,"_moccasins_, s'klük′a-shin"
SHOOT,"_to_, _with a bow_, ts-män"
SHOT,hüs-üm-ákw
SICK,s'hatl
SICK,"_I am_, s'hal'sün"
SING,"_to_, t'e-lüm, te′lim"
_younger_,sái-tchin
SIT,"_to_, üm-müt, üm-mit, tsüm-má-no"
SIX,"t'hünkh, tükh-hüng-ä-la, tükh-hüng-ält-hu"
_un-dressed_,kwül′lo
SKY,"sé-ishl, skwái-yil"
SLEEP,"_to_, ét-t-t, é-tüt-tüt, i-tit"
SLEEPY,a-tá-tüng
SLOWLY,o-s'n-ang'h
SMALL,mi-mé-min
SMELL,"_a_, häkw"
SMELL,"_to_, hük-kwül′la, hük-kwá-li"
_as a fire_,spát-lüng
SNAKE,s'alkh′ka
SNEEZE,"_to_, hä-sing"
SNORE,"_to_, hwá-na-küng"
SNOW,ná-ka
SON,ng-üu′na
SOUL,"_the_, sül-lé"
SOUR,sá-han
SOW,"_to_, _grain_, _&c._, chái-its (chai, _to work_)"
SPEAK,"_to_, kwal"
_fish_,t's-hüng′ün
SPLIT WOOD,"_to_, sküt"
_Simiamoo_,ti-chet′üng-kwa
STAND,"_to_, sít-lün"
STAR,"kó-s'n, kâ-s'n"
STAY,"_I will stay_, a-wüs-sin"
_he stole_,nikhl-kwa-kan′
STEER,"_to_, chün-nä-set; chük-ke-nüng"
STEERSMAN,"_of canoe_, as-kwá-at"
STOCKADE,"_fence_, kül-lükh′han"
_rock_,sng-ánt
_stop_ (_talking_),süm-mukh
STRIKE,"_to_, _with the fist_, nüt-sás-tüng"
STRIPED,as-hé-ütsh
STRONG,"kâm-küm, kwüm-kwüm"
STURGEON,skwá-wütsh
SUN,sku-kül′
SWEET,"sak-küng (aikh, _good_)"
SWIM,"_to_, tüng-a-áng"
TAKE,"_to_, kwün′nut (_same as to get_)"
TAKE OFF,"_to_, kl_á_-lis, klüt-sang′"
TALE,"_story_, skwül′kwül"
TALL,kl'k-tákhl
TEETH,chin′nis
TEN,"o′pün, o-pün-ä-la, o-pün-ält-hu"
TESTICLES,má-tchin
THANK YOU,hekh
_that is Lucy's_,la Lucy ti-lé
_there it is_,"e-i-té-i-ti, át-la-ti"
THEY,"nan-étl-ya, kw'si′a-hál-tün"
_every thing_,nükw-stang
THIEF,kán-kan
THIS,ti′et-hla
_you are a Kanaka yourself_,Kanaka tin-tsi′la
THOUSAND,o-pántsh
THREAD,"_twine_, hwé-lum"
THREE,"klikhw, kl-whái-la, kl-whält-hu"
THROAT,haung′en
_to throw away_,hwélt-hu
THUMB,süs-táls
THUNDER,s'hó-hwas
Flood tide,küm′mül
Ebb tide,hi-klatl'h
High tide,küm-küm′mül
Low tide,sham′shüm
TOBACCO,smá-nüsh
TOBACCO POUCH,smá-na-shá-la
TO-DAY,"ti-a-káis, ti-o-skwá-chil"
TOES,"s'chüs'sün, snó-hwl-shin"
TO-MORROW,"kwá-chil, kwái-ikhl"
TONGUE,té-whls
TRADING HOUSE _or store_,"shwui-mäl (hwi-mä-la, _to sell_)"
TREES,"_forest_, s'ki-lá-lüng-hu"
Red pine (_P. ponderosa_),kwa-kwa-yé-la-hilp
Dwarf pine (_P. contorta_),kwákhwl-ch
Spruce fir (_Abies Menzesii_),chi-kwüt′lp
White fir (_A. grandis_),sko′-me-yüks
Hemlock spruce (_Abies ---- ----_),s'ke-éltch
Yew,tlng-kálsh
Cedar (_Thuja_),h'chá-chiltsh
Red cedar (_Juniperus_),pits-in-ái-ilp
Arbutus (_A. Menzesii_),kō-kwéltsh
Birch,kats-ül′tch
Maple (_A. macrophylla_),küm′ an-ilp
Vine maple (_A. circinata_),shé-chülp
Alder,s'kwáng-ültsh
Crab apple tree,kükh-whétsh
Fruit of do.,ka-ákhw
Elder,tsé-wükh
Willow,swül-létsh
Roots,ko′mel-lokh
Fir cones,ta-má-ku-küns
Pitch or rosin,smá-nitsh
Leaves,sats-tlá
Fir bark,t'chül-le
Cedar bark,shl-kōm
Inner bark of do.,skwekhw
Willow bark (_used for making seines_),swá-lakh
Rotten wood,pi-kwái
TWO,"chus-sa, chá-sa, tch's-sält-hu"
UNCOVER,"_to_, küt-lést"
WALK,"_to_, s-tüng, sh-tüng"
_I don't want_,á-wa sins-kle
WARM,"kwass, kwá-lüs"
WARRIOR,"nus-chang-kün, mich-kül′lo-wütl"
_I wash_,sa-kwüm′sün
WATER,kaukh
WAVES,skwüt-la-lák-ün
WE,"ninglkh, kl-ning-ülkh"
WET,"klük-sét, tsa-müng"
WHISTLE,"_to_, sh-pi-lás"
WHITE,pük'h
WIFE,n'stá-lush (_same as husband_)
WIND,st-châng
West,ste-wüt
W. N. W.,tent-sa-lük
N. W. and North,s'chá-yüm
S. S. E.,skang-üt
S. W.,s'chis
WINGS,sk-käl
(_the hands_),chékw-sim
WOLF,st-kái-ükh
WOMAN,slá-ni
_dry wood_,stä-ta-chi
WORK (_do_,"_make_), chái"
WORTHLESS,kl-hül-o-_á_s
WRESTLE,"_to_, tsäl-tüng"
WRITE,"_to_, hül′lüt"
YAWN,"_to_, we′a-küs"
YE,"YOU, nük-kwé-li-é"
YELLOW,"n's-kwül-la-wün, nük-wai"
YESTERDAY,chi-lak'hl
YOUNG,s'hwé-wils
Skül-há-netl,Sla-yüks. Mouths of the river on Hale's passage
Klik-a-té-nus. The small prairie at the military station,Fort Bellingham
S'hüts-küs. Point William,or Samish point
Tál-la-lokh,Nu-kwüt-lá-al. Localities on Fidalgo island
live at that place in summer,but went up the bay in the winter
the eastern bay itself,or rather to the country upon it
Hüs-sáltsh,Hwi-chá-sen. Localities on the S. side of do
Si-a′lüng-hu. Hudson's Bay farm,San Juan island
Wa-hül-a-nün. Hudson's Bay salmon house,San Juan do
Le-mäl-tcha,Stä-shum. Former villages on Waldron island
El-t'nlh. Point Disney,do
Pl-hunk'-'sun. W. point,do
Sa-hōp-kan,now dead
Chil-lük,"his son, also dead"
Hu-té-sa-lük,at Simiamoo
Project Gutenberg-tm work,and (c) any Defect you cause
ways including checks,online payments and credit card donations
editions,all of which are confirmed as Public Domain in the U.S
