english,lummi
Robins (_T. Naevius_),kwüs-kük'h;
(_T. Migrat._),tsel-tcha
Warblers,hu-hwül-lüsh
Chickadee (_Parus_),ts-ka-yis
Finches (_generic_),tch-kwa′kwa;
ground robin,tül-tülk-si-nün;
snow finch,tchi-sa-wütsh
Wren,te′ti-tüm
Raven,sku-takh
Fish Crow,sku-kwa′ta
Blue Jay,chi-ya
Magpie,s'hün′nün
Pigeon,hüm-ókh
Ruffed Grouse,"skwüts, skwüts′ha"
Dusky Grouse,ng'e′et
Sand-hill Crane,slem
Plover,chit-hün-natsh′
Oyster Catcher (_hematopus_),swó-kük
Yellow-shank Snipe,skük-ka′-ye
Beach Birds,"small snipe (_?generic_), pel-latsh, skeks"
Curlew,mük-mük-kwa
Swan,ho′ha-han
Snow Goose,"kla-wükh-han, kla-hwa′han"
Canada Goose,ákh-ha
Brant (_Bernicla_),"hül-hül′tsh, hül-hül′cha"
Mallard (_a. Boschas_),ti-nük-sen
Teal (_Nettion_),"hüs-natch, chil-si′set"
Shoveller (_Spatula_),klel-lük-tük-sen
Gadwal (_Chaulelasmus_),shes′-sün-na
Sea Ducks (_generic_),kwal′-hu
Golden eye (_Clangula_),hül-hül-lül′o-witl
Canvass back (_Aythya_),hókh-ko-nitsh
Spirit Duck (_Albeola_),"hekh-kün-né, k'k-hün′na"
Merganser (_Mergus Am._),kwa-ōkw;
(_Mergus Serrator_),sküm-mätsh
Cormorant,mäs-sitch
Gulls,"large kinds, kwün-né;"
small kinds,skókh-kwa
Loons (_Colymbus_),"swa′kwün, hwekhw-kwüs"
Grebes (_Podiceps_),"skūl-küls′, hwa′nitsh, hwüt-tis"
Guillemot (_Uria_),"sko-kwa-kwüts, ko-kōkh-küts"
BIRDS,_parts of_:
Beak,nük′sünsh (v. _nose_)
Wing,"ki-ka′al, sk-ká-al"
Feathers,"stli-päl-kan, stakw"
Quills,stli-käl
Down,skái-us
Tail,klap-ái-sin-itsh
Gall,müs-suns
Entrails,ük-khes
Gizzard,s'he′a-kwüns
Liver,t'ä-kas
Heart,tsä-li
BITE,"_to_, tsing-ut-tüng"
BLACK,nük-kikh
BLANKET,"_feather blanket_ (_a native manufacture_), stüm-mo-whitl;"
_woollen do._,swâ-kwatl;
_white blanket_,pe-kál-kwüt;
_figured do._,nüt-sa′lo-wüt;
_red do._,nu-kwim;
_green do._,nük-chal-kwüt;
_blue do._,chi-al-küt;
_large dark blue do._,chil-tál-kwüt
BLAZE,"_to_, hu-tâ-ku"
BLIND,klä-litsh
BLOOD,säs-tchin
BLOW _with the breath_,"_to_, pa′-hwt;"
_blow the nose_,"_to_, nük-lüng-sin′na"
BLUE,chi-á-lis;
_pale_,ni-hwékw
BOARD,"_planks_, sél-to"
BOIL,"_to_, kwül-lüs′"
BONE,"sōm, s'ham"
BORE,"_to_, _as with a gimlet_, slük′-wüt, nük-slük′wüt"
BOSOM (_female_),sküm′ma
BOW,tsá-cha-sen
BOWSMAN,"_of canoe_, he′u"
BOX _or chest_,kla-yüks
BOY,"s'ch-chi-álkh, schi′atl, stet-látkl"
BRACELETS,"_of brass wire_, tsa-met-chin"
BREAD,"_baked_, tau′ükh"
BREAK,"_to_, (_broken_), ti-kwüt-tüng"
BREAST (_chest_),tsüng′ütl
BRING,"_to_, an-ákh-hu"
BROAD,nükh-hwái-ük-w'tl
BROTHER,"_elder_, shi-itlkh;"
_younger_,"sái-tchin, ni-whâ-ka"
BURN,"_I_, chükw′ sin;"
_it is burning_,ch'yükw
BURY,"_to_, (_to cache_), as-chá-nütl"
BUY,"_to_, (_to trade or barter_), hwái-üm;"
_I want to buy_,"nus-whái-yüm, nus-klé-a-küng sül-kül′la (nus-klé,"
BYE AND BYE,o-wäs-hés
CANOE (_generic_),skwâlkh;
_Chinook and Makah pattern_,"üt-hüs, ōt-hüs;"
_small do._,kük-ho′ütl;
_large Kawitchen canoe_,shwâ-atl;
_small fishing canoe_,sno′wh'tl;
_shovel-nosed or burden canoe_,klai
CARRY,"_to_, süng-at′;"
_to carry on the back_,süng-áng;
_on the shoulder_,ang-ut-tün;
_in the hand_,wi-kwo-nat′
CEDAR,"(_Thuja_), h'pai"
CERTAINLY,"_of course_, ho′wüs"
CHIEF,si-ám
CHISEL,"_of stone_, sh-we′ükh"
CHOP WOOD,"_to_, küm′müt"
CLEAR SKY,shu-ewk'h-hu
CLEAR OFF,"_to_, (_of the weather_), s'ai-yüt-tung;"
_it is clearing off_,ta-chil shu-auk-hu (_clear it comes_)
CLOTH,"_calico_, as-hálkh (_i.e. ""figured""_);"
_domestics_,pük'h; (_white_);
_baize_,tsats′a-whün;
_flannel_,tsül′whüm
CLOUDS,spa′hu;
_it is clouding over_,ta′chil nükh-no′-wüs
COALS _of fire_,chtist
COAL,"_stone coal_, pe′chit"
COAT,snu-éks
White,pük′h
Black,nük-kikh
Red,"n'sük'h, n'sükw"
Blue,chi-á-lis;
pale do.,ni-hwekw
Yellow,"n's-kwül-la-wün, nük-wái"
Green,"ni-tlut'h, nük-wái"
COME,"_to_, n'a, e-ná;"
_I come from Simiamoo_,si-tü-sin Si-mi-a-mu;
_come with me_,nük-wá-shin-nus;
_come into the house_,"an-á-la we-lüng, _or_ an-ush-ta no é-lüng (a-lüng,"
_come near_ (_imp._),n'at′la
COOK,"_to cook on hot stones_, k'k'pak"
COOKED,"_it is cooked_ (""_done_""), kwül"
COPULATE,"_to_, sün-nókh"
COUGH,"_to_, ta′kwün"
CRADLE,pat′süts
Crab,"bes-kwu, ä-chükh"
Spider Crab,ku-kwátl-shin
Stone Crab,ku-kwin-nó-wa
CRY,"_I_, ho-ang′sün"
COVER,"_to_, kle-hwés-tüng"
CUP,mem′tük'h
CUT _with a knife_,"_to_, shipt"
DANCE,"_to_, koi-el′lish, kwi-é-lish"
DARK,klatch
DAUGHTER,ng-ün′na
DAY,skwá-chil
DEAD,"kwái-i, ko-áikh"
DEEP,klütsh
DEER,"smis, smé-is, hōpt;"
_a buck_,"ses′tün (""_horned_"");"
_in Kawitchen_,hau-pa;
"_amongst the forest or ""Stick"" Indians_",klalk-ten-na
DIG,"_to_, _roots in general_, pä-nükhw′, pän-hu;"
_potatoes_,si-a-kwáls;
_fern roots_,tlai-ükw;
_clams_,kükh-hül′la
DIRTY,tüng-hwäs′
DISHES,nu-wh'tsh-kwé-la
DOG,"sko-mái, ská-ha"
DON'T,kwe-ét
DOOR,"_also road_, satl"
DREAM,"_to_, kül-kül-la′sin"
DRESS _a skin_,"_to_, e′ükh"
DRINK,"_to_, kâ-ko, nus-kâkh;"
_I drink_,kwa′kwa-sün
DRUM,"_to_, _as in conjuring or at dances_, kau-ä′tüng"
DRUNK,"_foolish_, as-hwákw, äs-hwákw-tün"
DRY,sel′-üp
DUCK,spl-häntl;
_mallard_,ti-nük-sen;
DULL,"_as a tool_, kül-lás"
EAR,kwül′lün
EAR RINGS,sklau-ün
EARTH,"_the_, _land_, s'che-tung′a-whün, s'che-tüng-a-hüng;"
_earth_,"_dirt_, sé-yük"
EAT,"_to_, it′lün, it′l'nkh;"
_I eat_,"nit-sít-lin, it-lün-sün"
ECHO,sän-gün
EGG,"sn'lng-_á_nt, kwün-kwün-né"
EIGHT,"tas, tus-sä-la, tus-sält-hu"
ELBOW,"_or knee-joint_, kl-yüt-sé-tün"
ELK,"kwáu-watsh, ky-yétsh, kai-yéts"
END,"_the end of anything_, sä-ans"
EVENING,t'tang′en
EVERY^1 THING^2,mükw^1 stang^2
EXCHANGE,"_to_, i-yakt′"
EYE,kül′lüng
EYEBROW,süng′ün;
_one-eyed_,as-takws
FACE,sas
FAR,"chakw, chōkw"
FART,"tük-snitch. _It is the common expression of disgust at anything,"
FAT,"_adj._, tlet-lük"
FATHER,män
FEATHERS,"stá-kw, sl'pal′kan"
FEMALE,slá-ne
FETCH,"_to_, an-ákhw"
FILE,"_a_, clük-hün;"
_to file_,chük-kás
FIND,"_to_, kwün′nüng"
FINGERS,chi-hals′
FINGER RINGS,hi-a′lüm-chis
FIR TREE,"chül-li-íltsh, chül-chils′;"
_fir bark_,chül-li
FIRE,chük-hós;
_bring fire_,kwün-tatsh
FIRST,il-chä-la
FISH,ETC.:
Cod,ait
Flounder,o′we
Herring,slang-üt
Calorhynchus,skwâ-ma
Large cottus,skün-nákhw
Skate,kákh-kōkh
Oulakan (_thaleïchthys_),ti-a-ko-wa
Pencil fish,"_a small fish that comes in schools_, katl"
Salmon,_vide infra_
FISH,_parts of_:
Scales,slés
Fins,ká-ting-üs
Tail,s'hüp-shin
Roe,he-a-hetl;
herring roe,ché-mäsh
FISH WEIR,"_large_, s'chi-yäk;"
_small do._,ti-k_á_p
FIVE,"kl-kats, kl-kätch-sä-la, kütch-sält-hu"
FLEA,tát-a-tlüm
FLESH,"_meat_, slé-ükw"
FLY,"_a_, i-kwül′lüng, kwil-lüng"
FOG,spi-á-hwün
FOOD,"set-lün, sä-wün"
FOOLISH,as-hwäkw
FOOT,s'hün′na
FOOT-PRINT,hün-nüug′en
FOREHEAD,skwang′us
FORMERLY,kwüt-li sil-la
FOUR,"ng′oss, ni-s_á_-la, sält-hu"
FRIEND,klé-nük-wil;
_my friend_,"n's-klé; (_literally, I like him_.)"
FULL,hēts
FUNDAMENT,kla-wákh
GAME (_beaver teeth dice_),smi′-la-li
GET,"_to_, kwün′nüt;"
_I want^1 to get^2 pantaloons^3_,nus-klé-ük^1 kwün-nüt^2 sük-ké-üs^3;
_get something to eat_,"_fetch^1 food^2_, _imp._, kwün-nas-süng^1"
s'it,lün^2;
_get into the canoe_,lä-ti kwüt-la-tsi ti shwá-atl; ái-ba kün
slang′üt; (lä,"tsi _seems to be ""at"" or ""into;"" vide ""at"" and"
_get fire wood_,"_to_, tük-kütsh′"
GIRL,"st-hlá-ni, sln-chá-atl"
GIVE,"_to_, (_to give as a present_), üng-us;"
_give it me_,"an-ákhw, (_i.e. bring it._)"
GLOVES,"ts'-kwá-lit-cha, no-sé-sin"
GNAT,chetsks
GO,"_to_, h'ya;"
_I go_,"kwül-h'ya′-sün, yas-sin-sa;"
_I am going to Lummi_,yá-sin-kin Nūkh-lüm-mi;
_presently I will go_,wi-a-sin-sa;
_let us go_,is-tá;
_go you_,"_imp._, ho-ni-chitl'h;"
_go out_,"_imp._, ské-lüng, ho-nes-ké-lüng (a-lung, _house_);"
_go there,"a little further off_, yi-hé-wül-tül-lá"
GOOD,aikh
GRAVE,"_serious_, ōkw-hüm′"
GRASS,s'hüs-sái
GREAT,"hai-yikh′, ke-yikh′"
GREEN,"ni-tlüt′h, nük-wai"
GREY HAIRED,süts-üm-mékhw
GUM,"_resin_, _light wood_, smá-nitsh"
GUN,"_north west musket_, pú-yük (pu, _the sound of a gun_);"
_regulation musket_,yüm-k'sn;
_rifle_,hai-choi-i-kütl;
_double-barrelled gun_,"nu-chüs′a-kun (chüssa, _two_);"
_pistol_,"chi-chai-etl pú-yük (s'chi-chai-an, _an infant_);"
_revolver_,nün-hük-ün-ük-ün;
_to load a gun_,h'nu-wül-lüs′sün;
_to ram down the load_,sé-a-kün;
_to fire a gun_,"kwül-shül′la, (_Simiahmoo_) klüm-kwül′la"
GUNPOWDER,kwälkh;
_flints or caps_,kwül-län
HAIL,klüm-whái-la
HAIR,si-at′tün
HALF,kl-chükh′
HAMMER,"_to_, h'kwüs′chis;"
_hammer_,"_a_, s'kwüs′chis"
HAND,sa′lüs
HANDLE,kült-shé-nün
HE,"nekhl, nitlkh"
HEAD,"s-kwáng-i, skwâng-i"
HEAR,"_to_, chis′a-lan"
HEART,"st-sá-la, tsá-la"
_In the sense of the mind_,h'ching-ing
HEAVY,hüm
HERE,ti-á-kwu
HIGH,ses'l
HONE,"_or whetstone_, shu-táks"
HOUSE,á-lüng;
_the posts that support the roof_,k_á_-kan;
_the ridge pole_,s'klüm-smelt-hu;
_side plates_,ha′met-sin
HOW,_how shall I do it?_ swün-né-üng-set ti-á?
HUNCHBACKED,sko-mé-sin
HUNDRED,"nat′so-itch, nat′so-wütsh"
HUNGRY,kwá-kwi
HUNTER,tsüm-á-mün-sa;
_seal hunter_,nus-lám-ükh
HUNTING BAG,shit-t_á_-la
HUSBAND,n'stá-lush
I,us
ICE,"s'lel-lokh, sé-ma"
IN,"_into_, nu-äs;"
_put in_,"_imp._, nu-as′ ats-ches′sük;"
_to be at or in_,"lak-si; _vide ""live;""_"
_it is in the house_,lâk-si á-lüng
INDIANS,"_people_, atl-tá-ling-hu"
INFANT,"s'chi-chái-an, kük-ké, n's-chái-in"
IRON,küm-tüm′
ISLAND,"kl-chas, s'kwüs-sá, sk'-sas"
JEALOUS,sā-si-si
KICK,"_to_, lüm-mat′"
KILL,"_to_, k'châ-tükh, ku-chel′la"
KISS,"_to_, nükh-wh'm-kwóst"
KNIFE,shpál-tin;
_do. with one edge_,il-kákh-han;
_two-edged_,wat-chä-han
KETTLE,"_iron_, sklá-lup;"
_wooden_,sko′ten
KNOW,"_to_, Do you know Ské-ükl? (_a man of that name?_) hüt-ché-tüs-hu"
Ské,ükl?
LAKE,s'weltsh
LANCE,st-kwái-itch
LARGE,mokw
LAUGH,"_I_, nün-nái-yüng-sen"
LAZY,"sä′hüng, sakhw;"
_I am lazy_,sa′whüng-sin
LEAF,s'chá-sün
LEAP,"_to_, hwé-tüng"
LEG,"slá-hütsh, ská-kün;"
_calf of leg_,kátl-sün
LEND,"_to_, ä-yil"
LIAR,kai-yá-kan
LIE,"_I_, hukh-kái-ya-kün"
LIGHT,"_adj._, stá-tu"
LIGHTNING,"cha-á-kwa-chük, cha-küts-o-kikh"
LIKE,shün-ángs
LISTEN,"_imp._, ni-hwú-i-yan"
LIVE AT,"_to_, läksi; (_this word appears to be the equivalent of the"
Nisqually_ at-suts,"_and to be really an adverb signifying ""presence"""
_I live there_,läk-si tel-lá
LONG,"_in dimension_, klä-kut"
LOOK OUT! kwá,la
LOOKING GLASS,"skwo-ná-süng, sku-ko-ná-süng, hu-ku-ná-sing;"
_the image or reflection in the glass_,kukh'-kütl
LOSE,"_to_, ek-kwa"
LOUSE,nüs′sün
LOVE,"_to_, nūs-tlé, nis-klé"
MAGIC,"_conjuring_, ch'si-ó-wün;"
_for medicine_,shi-nám
MAKE,"_to_, chai;"
_I am making a canoe_,chai its sno′hwütl;
_make fire_,"_imp._, chük-kós"
Horse,stük-ké-u
Elk,"kwá-watsh, kai-yéts"
buck,"sist-ün, _i.e._ ""horned."""
Deer,smé-yis
buck,sist-ün
fawn,stül-la
Bear,"black, späs"
grizzly,kwái-et-chin
Big horn (_ovis montana_),kwe-kwüt-chen
Mountain goat (_aploceras_),"swét-le, pi-külkh-kan"
Racoon,blōps
Dog,skó-mai
Wolf,st'kái-ya
Cougar,shwo′wa
Lynx,sküts-a′müs
Beaver,skül-lá-u
Sea otter,tüm′müs
Land otter,s'katl
Seal,_á_ss′hu
Mink,"kai-yakh, s'ché-a-kün"
Weasel,kül-ké-la
Skunk,süp-pük
Squirrel (_sciurus_),tsip-si-á-sün
Striped squirrel (_tamias_),hwé-pe-chin
Kamass rat (_neotoma_),ná-wit
Mouse,kwa′tün
Mole,spi-lá-wün
Hare,ské-ka-was
MAMMALS,_parts of_:
Neck,tatsh-süns
Atlas joint,kük-kak-w'chis
Ribs,lük-h'ws
Marrow of legs,tüts-üsh′shins
Brain,smet-küs
Gristle of vertebræ,kwa-á-lüs
Liver,stük′chüng
Lights,spül′hu
Paunch,spukh
Wind-pipe,hwang-ün
Tail,klo′wak-üs
Skin,kwül-los
A dressed skin,hül-la-kan
Hair,s'chais
Hoofs,kwâ-nüngs
Kidneys,sün-süns
Sinews of legs,kli-é-mins
Sinews of back,tüng-é-sens
Horns,tses′tün
Heart,tsá-la
Os calcis,kát-lin-süns
Thighs,kat-chat-chs
Saddle or hind quarters,"as-satch-chatsh (chus-sa, _two_)"
Leg,sku-shüm-shins
Lower joint of do.,s'hün-nüs
Fore quarter,tä-los
Both do.,skül′la-hans
Fat,nas
Meat,slé-ük
MAN,swé-yi-ka
MANY,"n'gann, n'gün;"
_many people_,n'günhl-tá-ling-hu;
_I have many people_,n'gan al-tä-ling-hu ti-us
MAT,slä′wün;
_the large mat used for making temporary lodges_,sá-letch;
_cedar bark mat_,"tsüm′müt, lo′kwai"
MEND,"_to_, chüts-ül-kwüt′tün"
MERRY,nüks-né-ni
MIDDLE (_of length_),á-no-wüls
MISTAKE,"_to_, _either in speech or on the road_, mäl-min"
MOLLUSCS,"RADIATES, ETC.:"
Small round clam (_Venus_),sküt-hlai;
quahog (_Saxidomus_),sákh-hwa;
large clam (_Lutraria_),swäm
Cockle (_cardium_),sk′läm
Mussel (_Mytilus_),klâ-küm
Oyster,klokh-klokh
Whelk,sük-kwái-yükh
Barnacle,süm-mai-ya
Chiton,hül′lüng
Land snail (_helix_),wük-kük'h
Slug (_limax_),kai-yat′lin
Sea egg (_Echinus_),skwét-si
Sea slug (_holothuria_),sekt
Star fish,"kwül-lá-chi, kül-lä-sis"
Cuttle fish,ské-mūk
Shells,ká-ya-men
MOON,kl-káltsh
MORNING,skwá-chi
MOSQUITO,kwá-an
MOTHER,tān
MOUNTAIN (_same as rock_),sng-ánt
MOUTH,sá-sün
MOVE FARTHER,yi-hé-wül tül-lá;
_go there_,tük′whist
MUCH,n'gun;
_much food_,n'gün sét-lün
Ha-áls,"_the principal super natural being, equivalent to_ Hun-né _of"
the Nisquallies_,"No-kw-makhl _of the Clallams and Skagits, and_"
Iká,ni _of the Chinooks_
S'hui-áb,"_or_ S'hui-ám, _the pre-human demon race_"
Yūtl-ma,"_or_ Shwâ-mat-wun, _the spirit that presides over good"
Ch'si′o-wün,"_a particular gift or capacity acquired by fasting, etc.,"
or by incantation,similar to the Chinook tamánowas_
Shi-nám,_magic or medicine_
NAILS,"t'sâls, chi-sá-lis"
NAKED,klüt-säng
NAME,s'nä;
_my name_,"üs-nä. _Vide ""who.""_"
NAVEL,mük′h-hwoi-ye
NEAR,"kl-ké-a-ke, tüt-lé-kai, sti-talst′"
NEEDLE,chät′sün
NET,"_for catching ducks, etc._, tük′hüm;"
_seine_,aukh-whói-yen
NEW,háu-wüs
NIGHT,snat
NINE,"tük'hw, tük-whä-la, tük-whalt-hu"
NO,"a-wá, a-wükh′, ókh-wa"
NONE,"_there is none_, a-wün′na;"
_are you not ashamed?_ a,"wün-na s'hét-sil? (_literally ""no shame?""_)"
NOSE,nük′sün
NOSTRILS,skwá-lük-sen
NOW,"ti-a, ti-an′k'h"
_Simple Cardinals,-_
1,nüt′sa
2,chüs′sa
3,klikhw
4,ng-oss′
5,kl-kats′
6,t'hünkh
7,tsákws
8,tats
9,tük'hw
10,o′pün
11,ó-pün it nüt′sa
12,ó-pün it chüs′sa
20,"tsük-küs, tsük-wüs"
30,kl-whl-shá
40,nüsl-shá
50,küts'hl-shá
60,tükh-hüm-shá
70,skwl-shá
80,tüsl-shá
90,to-wol-shá
100,nat-sa-wütsh
1000,o-päntsh
_Personal Cardinals,-_
1,nat′sa
2,chá-sa
3,kl-whái-la
4,ni-sä-la
5,hl'-katch-sä′la
6,tükh-hüng-ä-la
7,tsük-sä-la
8,tüs-sä-la
9,tük-hwä-la
10,o-pün-ä-la
20,nt-su-ku-sä-la
_Cardinals of Valuation,-_
1,tsak′wüt-hu
2,tch's-sält-hu
3,kl-whält-hu
4,sält-hu
5,kütch-sält-hu
6,tükh-hüng-ält-hu
7,sük-sält-hu
8,tüs-sält-hu
9,tük-whält-hu
10,o-pün-ält-hu
20,tsū-kw-sält-hu
OAK,s'chüng-altsh
OFF SHORE,tâl
OLD,"tsa-küng, snük-kái;"
_an old man_,"as-á-lokh, as-mes′sün"
ONE,"nüt-sa, nat′sa, tsak′wüt-hu"
OUT DOORS,"sét-lüng (a′lüng, _a house_)"
PADDLE,"_to_, ist"
PAN,"_or plate_, lä-sün"
PANTALOONS,sük-ké-us
PENIS,shel-l_á_
PEOPLE,"_i.e._ _Indians_, atl-tá-ling-hu;"
_people inhabiting the woods_,"""_Stick Indians_,"" mäs-hwi (_whence the"
name of a tribe on Fraser River,generally known as Maskwies_);
_people living on the salt water_,"s'chit-lals′ha (klals, _the sea_);"
_River Indians_,"chis-tá-lo, stül-tá-lo (stá-lo, _a river_);"
_white men_,hwa-ni′tum
PERHAPS,yükh-whá
PIGEON,"h'mo, hüm-o'h"
PIN,"_a_, hüm-mén;"
_large blanket pin_,kwün-né-sing
PIPE,päkw
PLANE,"_to_ (_boards_), shé-shüb; (_probably by onomatopœia_)"
PLANTS,ETC.: (_See also Trees._)
Salmon berry,al-é-la
Barberry,skwâ-cha-sitsh
Red raspberry,tük′wüm
Gooseberry,küm-kwéltsh
Dewberry,skül-nu-whélsh
Rose bush,kül-kél
Berries of do.,kül-lük
Snowberry bush,pat-saltsh
Berries of do.,p'pi-kái-yas
Honeysuckle,"kat-kat-éltsh, saltsh; (_the leaves are chewed as a"
Spiræa,kads-sulch
Wild pea,hüm-kwai-á-sin
Wild rye,pshai
Yarrow (_Achillia multifolia_),pül-lé-a-kwütsh; (_it is used to
Prickly pear (_cactus_),tsä-ta
Thorns,chit-tüm-mäs
Equisetum,"mäkhw, á-is-küd"
Root of do.,ko-ma-lokh
Cat-tail rush,s_á_-kün
Tule or round rush,skwül-lül
Wild onion,swél-nitsh
Brake fern,sük-ka-an′
Roots of do. (_eaten_),skwi′yu
Small brake,tsük′kwa
Wood fern,s'hä-lüm
Liquorice fern (_an expectorant_),klüs-síp
Lichens,küt-che
Spanish moss,stül-hái-is
Liverworts,mükh′tül-lüs;
_a species of moss with a peppery taste,"used in medicine_, kät-si"
Sea weeds,chil-lüm
Kelp (_fucus gigantia_),kwá-ang
PLANT,"_to_, chin-eng-ütl"
PLENTY,n'gün
POINT _of anything_,i-sük′sin
POOR,"_wretched_, sül-lá-wa"
PORCUPINE QUILLS,tsüts-ül-kan
PORPOISE,kwá-nat
POSTS _for supporting the roof of a house_,kä-kan
POUND,"_to_ (_as seeds, grain_), kli-a-kwéng-ütl"
PRAIRIE,spelkh′han
PREGNANT,skä-kwi
PRESENTLY,hwa-sing-ang′a;
_in a little while_,"h'wes′ta-ál, hu-as-ta-al′"
I,us;
_suffixed to a verb_ (_copulative_),sün
My,ti-us;
_prefixed to noun_ (_possessive_),"n's, nūs"
Thou,nükw
Thy,ti-nük-wa
Thyself,tin-tsi-la
He (_that one_),"nel, nitlh"
We,"minglkt, kl-ming′ülkh"
Ye,nük-kwé-li-e
They,"nan-etl-ya, kw-si-a-hal-tün"
My canoe,nus-kwá n'shwâ-atl
Thy knife,süns-kwân's-päl-tün
His gun,tsä-ka po-yük
Our country,tsá-kwün tüng′-hu
Your house,tsüng a′nüng hä-la
Their father,k'sän män
PULL THE HAIR,"_to_, heng-ükw-tün"
PUT ON,"_to_, _pantaloons_, hük-éw-sing;"
_a coat_,hut-ché-tüng
PUT INTO,"_to_, _imp._, nu-ás ats-ches-sük"
PUT DOWN,"_to_, sä-kws"
RAIN,slüm′mōkh
RAISE UP,"_to_, sä-at"
RAKE,"_for taking herring and other small fish_, tlet′ha-men"
RAPID,"_in a river_, kwet′chüm"
RAW,hets
RED,"n'sük'h, n'sükw"
Father,män
Mother,tän
Husband,"my, n'stá-lüsh"
Wife,_idem_
Son or daughter,ng'ün′na
Brother,"_if older than the speaker_, shí-itlh;"
_if younger_,sái-tchin
Elder sister,á-lish;
_younger do._,sái-tchin
Grandfather,cha-mok
Grandmother,sé-la
Uncle,"latl, hai'tch; (_as the nephew grows older, the uncle becomes"
Aunt,shé-ilsh
Father-in-law,slätl
Mother-in-law,_idem_
Brother-in-law,_idem (?)_
Sister-in-law,s'ng-at′hwun
Sister's husband,_idem_
Step father,n's-gnä-ün
Step mother,_idem_
Daughter-in-law,skwá-lo-wis
Husband's other wives,sái-ya
RIVER,stá-lo;
_small stream_,stá-ta-lo
ROAD,satl
ROAST,"_to_, _in ashes_, tül-lák;"
_on a stick_,s'kwül′lüng
ROCK,sng-ánt
ROPE,hwé-lüm
RUN,"_to_, kwâ-nüng-üt, kwá-nüng-it"
SAD,"hätl-tin, hütch-ing′én"
SAIL,"_make sail_, _imp._, chai-a-kwün pa-kwün;"
_take in sail_,"_imp._, klüng-äs"
SALAMANDER,pét-h'yil
SALMON,"_generic_, s'chän-hu.--"
kütch′küs _Salmo scoulerí_,RICHARDSON;
hün-nün,_the hump-backed salmon_ (_S. Proteus_);
sük,ké (_not ascertained_);
yó-mutsh,"_S. quinnat_, RICH.;"
kwal-hu,"_S. canis_, SUCKLEY (_this name, it will be noticed, is"
ké-ükh,_S. truncatus_?
kwül-yauk,_salmon when exhausted by spawning_;
tüghs,"_salmon trout_ (_S. Campbelli_, SUCKLEY);"
su-kwái,"_brook trout_ (_S. stellatus_, GRD.);"
hu-má-ni,_salmon fry._ (_This last word suggests the Spokane word
for the brook trout_,hu-má-na.)
SALT,klat′lün
SAND BEACH,"s'het (_Lummi_), si-et′süm (_Kwantlen_)"
SAND SPIT,na-wa-létsh
SCOOP,"_for bailing a canoe_, tsang′tün"
SCRAPE,"_to_, ekht"
SCRATCH,"_a_, si-héks"
SCRATCH,"_to_, hüt-ché-tüng;"
_I scratch_,hi-kék-sün
SEA,"klals, kt'hlals"
Spring,"tchin-kwé-lis, tchin-kwai-lus"
Summer,"kwá-lus (kwá-lis, _warm_) tchin-é-yi"
Autumn,"chits-at-lin, tsa-whéngst"
Winter,"chints-é-hüm, chin-sá-tütsh, sá-titsh"
SEE,"_to_, lang-üt, lang-it"
SELL,"_to_, hwi-mä′la"
SEVEN,"tsâkws, tsük-sä-la, sük-sält-hu"
SEW,"_to_, chets"
SHAKE HANDS,"_to_, kwün-sest′"
SHALLOW,shái-shüm
SHARP,ái-yas
