id,word_id,meaning
322,195,this morning
323,196,here
324,196,at this place
325,197,tonight
326,198,Indigenous person
327,198,be an Indigenous person
328,199,community house
329,199,"""Indigenous people's longhouse"""
330,200,where
331,201,where is it?
332,202,shave
333,203,sweeping
334,204,"prefix is part of the Actual aspect, like ""-ing"" in English"
335,205,siblings (your siblings)
336,206,sit
337,206,crouch
338,206,squat
339,207,sit (set down / made to sit)
340,208,stop
341,209,great great grandparent
342,209,great grand child
343,210,I
344,210,me (female)
345,211,that/ those (not necessarily near)
346,212,"this, that one (far away or out of sight)"
347,213,"pronoun, article, visible"
348,214,"that particular person, he, she, him, it is (near to listener)"
349,215,you folks
350,216,"they, them"
351,217,"Cowichan hero and warrior from q̓ʷəmiʔíqən who had tewnty wives. In one tale he is beheaded by a runaway slave, in another he is strangled by one of his wives. It was said no man could kill him."
352,218,stony
353,218,be covered with pebbles
354,218,be in a stony place
355,218,beach
356,219,that particular one
357,220,antler
358,220,horn
359,221,that particular thing
360,222,"Cowichan hero who defeated the kɫekʷət people when they attached the Cowichan and Songish, probably at Lake Cowichan. The name may mean ""he is very powerful""."
361,223,Placename: South SaanichTerritory north of x̣ʷsepsəm (Xwsepsum) and south of Saanich. Also spelled Tsuli'lhchu
362,224,your
363,225,pack baby on back
364,226,pack on one’s back
365,227,hero (mythical Cowichan hero)
366,228,seven hundred
367,229,rotted
368,229,be rotten
369,229,wormy
370,229,decayed
371,230,arrows
372,231,bone
373,232,disappear
374,233,wash oneself
375,234,shake (religion)
376,235,washed
377,235,be washed
378,236,stab it/him/her
379,236,poke
380,237,tommy cod
381,238,I thank you everyone
382,239,thank with wealth
383,239,especially to thank a co-parent-in-law for his gift of food by presenting him with wealth.
384,240,arrow (unconfirmed)
385,241,northern flicker
386,242,wash one ̓s face
387,243,wash
388,243,have ones face washed
389,244,wash oneself
390,245,"co-parent-in-law after the death of one member of the married pare of offspring: ""those who weep together"""
391,246,feel cold oneself
392,247,gloves
393,248,rotting
394,248,starting to rot or spoil
395,249,stabbed
396,249,be stabbed
397,249,poked
398,250,stabbed (be stabbed)
399,250,poked
400,251,gravel
401,251,pebbles (as on a beach)
402,252,spear
403,252,war spear
404,253,get cold
405,253,feel cold
406,254,wet
407,254,be wet
408,255,seven
409,256,seven hundred
410,257,seven years old
411,258,bony
412,258,be bony
413,259,bracelet
414,260,"Placename: This approximate village site belonged to the Ts’angus people. They were said by Sophie Mishael and Ned Williams, to have lived in the bay on Albert Head."
415,261,"rotten, to be rotten, be spoiled, wormy"
416,262,rot
417,262,to decay
418,263,seventy
419,264,atop
420,264,be on top
421,265,wash
422,265,be laundered (as clothing)
423,265,laundry
424,266,put it up
425,266,put it on
426,266,put it upon
427,267,kingfisher
428,268,heart
429,269,stab it
430,270,"thank, to thank someone"
431,270,thank with wealth
432,271,close
433,271,"be close, almost arrived"
434,272,nail
435,272,spike
436,272,tack
437,273,please
438,273,have pity
439,273,feel pity
440,274,wash us
441,275,wash feet
442,276,wash hands
443,277,wash one's hair
444,278,washed him/herself
445,279,washed
446,279,be laundered (as clothing)
447,279,laundry
448,280,black cap mushroom (unconfirmed)
449,281,many being hit
450,282,ants
451,283,"November, mid-winter: ""shining ice on the ground"""
452,284,arrow
453,285,squirrel
454,286,safety pin
455,287,perish
456,288,twenty
457,289,twenty-two
458,290,twenty-one
459,291,poisoned
460,291,be poisoned
461,292,seal (fur seal)
462,293,ant
463,294,bitten
464,294,be bitten
465,295,chest
466,295,thoax
467,296,bite
468,297,drip
469,297,leak from above
470,298,stinging nettles. Boiled nettles were fed to women in labour to ease childbirth
471,298,nets for trappng birds were made of nettle twine.
472,299,workers
473,300,pretend great-grandmother
474,301,maker
475,301,worker
476,301,diligent (someone who works well)
477,302,kettle
478,302,teapot
479,303,hold steady
480,304,just now (past)
481,304,finally
482,304,suddenly
483,304,as soon as
484,305,right now
485,306,starting to get really old
486,306,growing really old
487,307,"Placename: Territory to east of xwsepsum lands, in what is today̓s Oak Bay. Also spelled Chekonein."
488,308,"fall (forward), fall down while walking (trip)"
489,309,"falls, he/she/it falls"
490,310,melt
491,310,to melt
492,311,they worked over her
493,312,hunting
494,313,snow
495,314,"1. Placename: The name, also spelled Chilkowetch or Chilka’wuch is short for chukanga’wuch which means “something rolling downhill and hitting the buttocks of people sitting at the bottom”. This probably refers to the location"
496,315,following
497,316,follow
498,317,1. Placename: Village site inside Becher Bay near Murder Bay. The village was said to be along the western shore of the bay. This name is also written Chiahnook and Cheerno (this last was an earlier name for the Becher Bay
499,318,spirit dancer
500,318,curer
501,319,"own, possess, have ownership of"
502,320,"I made it happen, It was me"
503,321,he/she/they made it happen
504,322,we caused it
505,323,you folks made it happen
506,324,"you, the cause"
507,325,"starve, s/he it starves"
508,326,"emphatic particle, very, really"
509,327,thicken it
510,328,liked no longer
511,329,wished for
512,330,have a name
513,330,his name
514,331,burn it
515,332,two dollars
516,333,follow
517,334,from there
518,335,asking
519,336,asked (what was asked)
520,337,ask
521,338,ask you
522,339,asked by
523,340,"maybe, probable (particle)"
524,341,farm
525,342,splitting
526,343,chop wood
527,344,"chop it, split it"
528,345,split it (command)
529,346,spit
530,347,sing a power song
531,348,"prefix meaning ""have"""
532,349,inland
533,349,be in the woods
534,349,up away from the water
535,349,up the mountain
536,350,use
537,350,wear
538,350,put on
539,351,"burning, burned (burnt)"
540,351,on fire
541,352,forest fire (the forest is burning)
542,353,sweat
543,353,be sweaty
544,354,"fixing it, mending, repairing"
545,355,vomit (to vomit something)
546,356,I am working or knitting
547,357,before
548,357,be before
549,358,"fix, mend, repair"
550,359,build a house
551,360,follow
552,360,pursue
553,360,chase
554,361,work on it
555,361,fix
556,361,mend
557,361,repair
558,362,fix the canoe
559,363,late spouse's kin
560,364,roll
561,364,roll over
562,365,melt
563,365,be melted
564,366,melt it
565,366,it's melted
566,366,being melted
567,367,following
568,367,
569,368,"worker, maker"
570,369,mink
571,370,"chasing, pursuing, following someone or something"
572,371,"candle, lamp, electric light"
573,372,snowing
574,373,magician
575,373,one who possesses knowledge of magic
576,374,iron
577,375,house
578,375,non existant house
579,376,near
580,376,be somewhere near a place
581,377,"1. Indefinate article. Indicates incomplete, indefinite, discontinued, or pretended action, person, object, or amount. May occur in question sentences or when talking about unmarried people, deceased family, or about a"
582,378,Okay
583,378,alright
584,378,Expression of assent
585,379,using something
586,379,wearing something
587,380,"Expression of assent See /ʔáyʔ/, good'"
588,381,owls
589,382,owl (great horned owl)
590,383,teeth
591,384,"peek out of hole, window or crack"
592,385,"you folks , pronoun"
593,386,burn
594,386,set on fire
595,387,"pass by, out do"
596,388,turn
597,389,history of ancestors
598,389,true story
599,389,heritage
600,390,heritage
601,391,yesterday (to be yesterday)
602,392,turn it over (she/he/they turn it over
603,393,"I encourage you to, I suggest, you should"
604,394,thick in width
605,395,autumn
606,395,"September: ""when on is starting to feel cold"""
607,396,winter
608,396,"""when it is cold"""
609,397,when
610,398,"prefix meaning ""time of"" or ""season"""
611,399,"June, summer moon: ""when good weather is coming"""
612,400,big run of fish
613,400,lots of fish
614,401,fish
615,401,be fishing
616,402,fishing ground
617,403,bury
618,403,plant
619,404,bury you
620,405,winter
621,406,summer
622,407,plant
623,407,to plant
624,407,sowing
625,408,oak tree (Garry Oak or White Oak)
626,408,quercus
627,409,children (developing in the womb or eggs)
628,410,"big, large"
629,410,swell
630,410,get bigger
631,411,big house floor
632,412,Easter
633,412,Big Day
634,413,"big man, headman"
635,414,"low tide: ""big tide"""
636,415,enlarge
637,415,make big
638,415,swell
639,416,burn (be burned)
640,417,burn (I got burned)
641,418,burn it (unintentionally)
642,419,fire
643,419,be on fire
644,419,make a fire
645,420,two at a time
646,421,two each
647,422,unmarried woman
648,422,bride
649,423,bachelor
650,423,unmarried man
651,423,groom
652,424,peep
653,424,peer
654,425,head anchor lines (of a reef net)
655,426,unidentified prefix
656,427,Placename: This was the name for what is now Secretary Island near entrance to Sooke Inlet.
657,428,"pitch, resin. Used as chewing gum and for illumination and startig fires durig ceremonials (Barnett t3)"
658,429,glue
659,429,resin
660,429,pitch
661,430,burying it
662,431,tooth
663,432,buried
664,432,it/he/she was buried
665,433,two
666,434,"abdomen, stomach"
667,435,little dish
668,436,little dishes (uncofirmed)
669,437,sewing
670,437,be sewing
671,438,arrive home
672,439,home (he/she arrived home)
673,440,"brought home, be brought home"
674,441,fry it
675,442,fork
676,443,baking powder
677,444,Douglas fir tree
678,445,Douglas fir
679,446,hit us
680,447,"claw, fingernail"
681,447,talon
682,448,pack
683,449,crawl
684,450,"pack, pack up possessions"
685,450,to move camp
686,451,dish
687,452,sew
688,453,sewing needle
689,454,"sew it, mend it, repair it by sewing"
690,455,loosened
691,455,be loose
692,456,straighten it
693,456,make it straight
694,456,correct it
695,457,growing
696,458,char
697,458,blacken
698,458,to char
699,458,turn to charcoal
700,458,blacken with charcoal
701,458,black face paint. Paint made from charred devil's club stalks
702,459,squeeze
703,460,grow
704,461,short (to be short)
705,462,"February: ""short moon"""
706,463,frying
707,463,be frying
708,464,spruce (unconfirmed)
709,465,tree bark (any)
710,466,dishes
711,467,labour
712,467,be in labour
713,468,"December: ""taking up the canoes"""
714,469,"jaw, jaws"
715,470,thin
716,471,"great-grandparents, great-grandchildren"
717,472,driving
718,472,steering a car or boat
719,473,"steamed, be steamed, baked by steam"
720,474,"steam it, bake it with steam, cause to be baked"
721,475,you get home
722,476,surprised
723,476,be surprised or impressed
724,477,hit in the head (unconfirmed)
725,478,crawling
726,479,"surf scoter or white-winged scoter, black duck, the largest scoter"
727,480,"childbirth, labour pains. During childbirth, the mother is secluded in a hut or behind a blanket partition in the house. She is assisted by a female doctor who gives her medications to ease her contractions."
728,481,eagle
729,481,eagle feather
730,482,being alone
731,483,"smell, odour"
732,484,afternoon
733,485,most
734,485,superlative state or condition (best
735,485,most
736,485,worst
737,485,oldest
738,485,youngest
739,485,etc.)
740,486,bow of a canoe
741,486,front of a car
742,487,cause to finish
743,487,stop
744,487,wean
745,488,"worst, be the worst"
746,489,youngest
747,490,"remember, recall"
748,491,falling (from a height)
749,492,fall (from a height)
750,493,long ago
751,494,long time past
752,495,"play, to play childishly"
753,496,"stinking, give off a smell"
754,497,whooping cough
755,498,smell it (able to smell it)
756,499,breathe
757,500,remembering
758,501,yes
759,502,"you folks, you (plural) c.f. sxʷ helə"
760,503,sneeze (to sneeze)
761,504,rat
762,505,"youngest (ones), youngest sibling"
763,506,"alive, living"
764,507,come back to life
765,508,it comes alive
766,509,brought back to life
767,510,Placename: village along Colquitz creek that connects Elk lake to Pəl̓qʷíc̓əŋ (Gorge waterway)
768,511,come to shore
769,512,not yet exist
770,513,return
771,514,change one's mind
772,515,tomorrow
773,516,Placename: likely the small island(s) between sc̓sn̓aʔəŋ and sqəŋinəs (Grant Keddie 2003 p.54)
774,517,root (any root)
775,518,"cough up, spit up blood"
776,519,moving the hand
777,520,"he, him, it is (out of sight of speaker)"
778,521,"Placename (kohweechela): Now called Tod Island, used to be called Jimmy Chicken Island and was owned by Jimmy Chicken, Sophie Mishael's grandfather. This the first island near the mouth of Bowker creek in Oak Bay."
779,522,knitting
780,523,that one (not visible
781,523,hypothetical
782,523,distant)
783,524,appear
784,524,show up
785,524,become visible
786,525,"improve, start being good"
787,526,already then (not translateable)
788,527,already now (not translateable)
789,528,now
790,528,happening now
791,529,start dressing
792,529,start getting dressed
793,529,already be dressed
794,530,"begin to get ready, start getting prepared"
795,531,be prepared or ready
796,531,already prepared
797,532,"getting sleepy, begin to feel sleepy"
798,533,already be close
799,534,"work (beginning to work, going to be working)"
800,535,we are getting tired
801,536,"tired, become tired"
802,537,almost
803,538,catch on fire
804,538,begin to burn
805,538,burning
806,539,begin
807,539,start to
808,540,"finish (begin to be finished, going to stop, nearing the end)"
809,541,"long time ago, to be in the past (common phrase to introduce stories)"
810,542,bloom
811,542,blossom
812,542,begin to flower
813,543,"daybreak, start of the morning"
814,544,dark
815,544,getting dark
816,544,it's dark
817,545,land on the shore
818,546,autumn
819,547,as soon as
820,547,right away
821,548,begin laughing
822,548,start to laugh
823,549,going to repeat
824,549,already repeating
825,549,the following
826,550,speaking
827,550,start speaking
828,550,already speaking
829,551,beginning to die
830,551,going to die
831,552,begin to drown
832,552,"""to be starting to be a drowned person"""
833,553,already dying
834,553,begin to die
835,554,start walking
836,555,dying
837,555,starting to die
838,555,be going to die
839,556,start to go
840,556,start to leave
841,556,just about to go
842,557,this that already happened (this is an approximation of a translation. The actual meaning is very reliant on context)
843,558,why
844,558,because
845,559,"particular thing (general, hypothetical, distant)"
846,560,"she, her (out of sight of speaker)"
847,561,cook (English loan)
848,562,run
849,563,star
850,564,salmon (dog or chum salmon)
851,565,drop
852,566,release it
853,566,let go
854,567,move oneself
855,567,stir oneself
856,568,"move, shake, stir it"
857,569,move (be moved or shaken)
858,570,"earthquake: ""the earth moves"""
859,571,hide
860,571,conceal
861,572,bloom
862,573,fight with each other
863,574,drive away
864,574,chase away a group
865,575,fight
866,576,Chinook
867,576,king salmon
868,576,spring salmon
869,577,drive away
870,577,chase away
871,578,a
872,578,the
873,578,indefinite article
874,579,"therefore, that's how, why, how?"
875,580,morning
876,581,breakfast
877,581,morning meal
878,582,deer-hoof rattle
879,583,"it gets moved, disturbed"
880,584,hiding
881,585,"duck (sawbill), hooded merganser"
882,586,orca pod
883,586,group of whales
884,587,capsizing it
885,588,pour out
886,588,spill (dry or liquid)
887,588,capsize
888,589,pour on head
889,590,spilling (by mistake)
890,591,capsizing it
891,592,spill (by mistake)
892,593,alder
893,594,partly showing
894,594,just coming into view
895,595,Chinook
896,595,king salmon
897,595,"spring salmon -plural, more than one"
898,596,Placename: Stone Church
899,597,helped
900,597,be saved
901,597,be rescued
902,598,running
903,599,hold (while moving)
904,600,helper
905,600,old dancer's helper
906,601,"help, give help"
907,602,help someone
908,602,save
909,602,rescue
910,603,"helpful, be helpful"
911,604,"helpful, be helpful"
912,604,help us
913,605,held
914,605,be held by
915,606,"button, ""fastener"""
916,607,take his/her arm
917,608,take someone
918,609,holding on
919,610,carry it
920,611,help me
921,612,"hold it, fasten it, take it, find it"
922,613,"fall (from a hieght), fall down, stumble"
923,613,to knock down
924,614,"Placename: Village in Cadboro Bay. Tranlsated as ""Beach exposed to the weather""."
925,615,"quarrel with each other, argue with each other"
926,616,debt
927,616,owe money
928,616,obliged to make payment
929,617,"fly, to fly"
930,618,capsize it
931,619,capsizing
932,620,1. orca
933,620,Grampus rectipinna
934,620,"(the chief of the whale people, killer whale is never killed nor eaten. Eagle downis thrown on the wsater when one is seen to propitiate its fpirit and gain help in seal hunting. Sea hunters become"
935,621,"hold (take hold, take, find)"
936,621,catch
937,622,take it
938,623,"acquire, have, get, find"
939,624,with
940,624,be with
941,624,beside
942,625,eagle
943,626,sweat
944,627,"fish, to fish"
945,628,butcher
946,628,"be cleaned (as fish, fowl, or game)"
947,628,cut up
948,628,skin an animal
949,629,fishing canoe
950,630,many fishing with hooks
951,631,trout (any)
952,632,"counted, to be counted"
953,633,"count it/them, count over"
954,634,advise (to give advice)
955,635,dog salmon
956,636,strong
957,637,porpoise
958,638,"hot, warm"
959,639,hungry
960,640,sunshine (hot sun)
961,641,one of the vertical side lines on the front of a reef net
962,642,heat
963,642,make it hot
964,643,rat
965,644,take many steps
966,645,butchering
967,645,"cleaning fish, fowl or game (unconfirmed)"
968,646,butcher
969,646,"clean it (fish, fowl, or game)"
970,647,"she/he/they butcher it (fish, fowl, or game)"
971,648,fishing canoe
972,649,how many?
973,650,stay with in-law
974,651,bear (grizzly)
975,652,"Placename: today called Gordon Head, the point of land to the south of Margaret Bay and Cordova Bay."
976,653,mouse
977,654,vertical side lines on the front of a reef net
978,655,salmon (spring salmon-more than one)
979,656,"fur, pelt"
980,657,"protect, care for all the time"
981,658,looking and looking
982,658,watching all the time
983,659,respect
984,660,see you
985,661,see me
986,662,how often?
987,663,show (to cause to look)
988,664,cook
989,664,prepare a meal or feast
990,665,see it (while in motion)
991,666,able to see
992,667,how many people
993,668,you are looking at me
994,669,look into
995,669,look out of
996,669,look through
997,670,look after yourself
998,671,being watched
999,672,look after
1000,672,take care of
1001,673,you should count it over
1002,674,fishing
1003,675,fishing (with a hook)
1004,676,spruce (č̓č̓aɬč KLM. Sitka spruce: c̓q̓eʔiɬč SEN. spruce: č̓k̓ʷəɬp SEN)
1005,677,skin
1006,677,hide
1007,678,deer hide
1008,679,"see with glasses (spyglass, etc.)"
1009,680,looking
1010,680,be looking
1011,681,look at
1012,681,stare
1013,682,see it
1014,683,"protect, care for all the time"
1015,684,cared for
1016,684,be cared for
1017,684,taken care of
1018,684,protected
1019,684,being seen
1020,685,looking
1021,685,gazing
1022,686,look at it
1023,687,bring up
1024,687,raise
1025,688,advised
1026,688,be given advice
1027,688,receive private knowledge
1028,689,I am counting them
1029,690,hail
1030,691,pocket knife
1031,692,fish with a hook
1032,693,ashes
1033,694,elder sibling
1034,695,at
1035,695,distant
1036,695,be distant (in space or time)
1037,695,be behind
1038,696,over there
1039,697,there
1040,697,far away
1041,697,out of sight
1042,698,train
1043,699,"rum, whiskey, liquor"
1044,700,plank (of wood)
1045,701,clean
1046,701,to clean
1047,702,far
1048,702,be far
1049,703,bag
1050,703,sack
1051,704,devil
1052,705,plate
1053,706,live there
1054,706,reside in that place
1055,706,be there (at a place near to the speaker)
1056,707,hear
1057,708,manage to fix
1058,709,alright
1059,709,be ready
1060,709,satisfactory
1061,710,there
1062,710,at a place
1063,711,there
1064,711,be there our of sight
1065,711,over there (beyond sight)
1066,712,"live, reside far away"
1067,712,"be far away, at a distance"
1068,713,put up
1069,713,"set up (as a house, tipi or tent)"
1070,714,"April: ""Wild geese are flying"""
1071,715,salmonberry (both berries and sprouts were gathered during the summer.
1072,716,far off
1073,716,"be made far, eg.carried far off"
1074,717,ribs
1075,718,1. Lekwungen
1076,718,People of the Songhees and Esquimalt (šxʷimeɫəɫ a.k.a x̣ʷsepsəm) nations
1077,718,"has been translated as ""land of smoked herring"". Esquimalt and Songish, Straits Salish speakers with traditional villages between Parry Bay"
1078,719,plates
1079,720,hear
1080,721,witness
1081,722,listen for a long time
1082,722,hear repeatedly
1083,723,"hear, listen"
1084,724,clean
1085,724,to clean
1086,725,eavesdrop
1087,725,pay attention to
1088,725,listen to
1089,725,hear
1090,726,kick us
1091,727,sheep
1092,728,obey
1093,729,big dipper
1094,730,board
1095,731,"priest, Roman Catholic missionary"
1096,732,shawl
1097,733,table
1098,734,wild goose
1099,735,key
1100,736,"cross, crucifix"
1101,737,tall plant used as medicine for sorrow (needs confirmation)
1102,738,eat cod
1103,739,cut hair
1104,740,comb
1105,740,a comb
1106,741,cut oneself
1107,742,cut oneself
1108,743,cut… be cut
1109,744,cut (to be cut)
1110,745,cut (I was cut by him)
1111,746,tire
1112,746,be tired
1113,747,half
1114,747,fifty cent piece : Half-dollars are an important item<br />of distribution at modern potlatches and spirit dances (Barnett 1955:134)
1115,748,this
1116,749,dark
1117,749,be dark
1118,750,get to shore
1119,751,lower it
1120,752,escape
1121,752,flee
1122,752,seek refuge
1123,753,recover from illness
1124,753,get well
1125,753,convalesce
1126,754,this here
1127,754,near me
1128,755,cut (to cut)
1129,756,cut
1130,757,cut it
1131,758,snag
1132,758,hook
1133,758,get hooked
1134,759,gift (to give a gift)
1135,760,give a gift
1136,760,gift (verb)
1137,761,cause one's gift to be given
1138,762,three
1139,763,group of three
1140,763,three at a time
1141,763,three humans
1142,764,three hundred
1143,765,three at a time
1144,766,three hundred
1145,767,last one
1146,767,be the last one
1147,768,Placename: small island half way to sqəŋinəs Island. Also spelled Thleethlayakw (Grant Keddie 2003 p.54)
1148,769,smoke a cigarette
1149,770,we
1150,770,"first person plural predicative, emphatic (e.g. it was we who did it)"
1151,771,we
1152,771,us (first person plural predicative pronoun)
1153,772,being detached
1154,772,removed
1155,773,dress
1156,773,to wear clothes
1157,774,anchor
1158,775,dress: skirt
1159,776,clothes
1160,777,clothes (her clothes)
1161,778,five
1162,779,five dollars
1163,780,fifty-seven
1164,781,fifty-two
1165,782,fifty-three
1166,783,fifty-five
1167,784,fifty-one
1168,785,fifty-four
1169,786,fifty-eight
1170,787,fifty-nine
1171,788,fifty-six
1172,789,fifty
1173,790,flatten
1174,790,make flat
1175,790,wide
1176,791,"slap, strike in the face"
1177,792,gums
1178,793,raped
1179,793,rape someone
1180,794,pry out (to have guts pried out )
1181,795,pry (it) out
1182,796,some
1183,796,a bit
1184,797,tea
1185,798,we
1186,798,first person plural
1187,799,nervous
1188,799,be made nervous
1189,799,jittery
1190,800,three dollars
1191,801,thrice
1192,801,three times
1193,802,floor
1194,803,three at a time
1195,803,three at once
1196,804,"abandoned, be left behind"
1197,805,leave it
1198,806,undressed
1199,806,be undressed
1200,807,slap onself
1201,808,get undressed
1202,809,slap
