category,english,lummi,part_of_speech,context_notes,source,eng_tokens,lummi_tokens
vocabulary,ch'si′o-wün,"_a particular gift or capacity acquired by fasting, etc.,",noun,,original,1,9
vocabulary,chair,xwetsawechen,noun,,original,1,1
vocabulary,chickadee ( parus ),ts-ka-yis,noun,,original,4,1
vocabulary,chief,si-ám,noun,,original,1,1
vocabulary,chinook,"and probably in others, the word for ""thing"" is the same",noun,,original,1,11
vocabulary,chipmunk,Kwepichen,noun,,original,1,1
vocabulary,chisel,"_of stone_, sh-we′ükh",noun,,original,1,3
vocabulary,chiton,hül′lüng,noun,,original,1,1
vocabulary,chop wood,"_to_, küm′müt",noun,,original,2,2
vocabulary,chuckanut,Nexw T'chekenets,noun,,original,1,2
vocabulary,clam basket,Lhepat,noun,,original,2,1
vocabulary,clear off,"_to_, (_of the weather_), s'ai-yüt-tung;",noun,,original,2,5
vocabulary,clear skies,Ey' iLeng,noun,,original,2,2
vocabulary,clear sky,shu-ewk'h-hu,noun,,original,2,1
vocabulary,cloth,"_calico_, as-hálkh (_i.e. ""figured""_);",noun,,original,1,4
vocabulary,clouds,spa′hu;,noun,,original,1,1
vocabulary,coal,"_stone coal_, pe′chit",noun,,original,1,3
vocabulary,coals  of fire,chtist,noun,,original,3,1
vocabulary,coat,snu-éks,noun,,original,1,1
vocabulary,cockle ( cardium ),sk′läm,noun,,original,4,1
vocabulary,cockle clam,SLho'em,noun,,original,2,1
vocabulary,cod,ait,noun,,original,1,1
vocabulary,cold (weather),Ts'ixweng,noun,,original,2,1
vocabulary,color,Q'etLe,noun,,original,1,1
vocabulary,come,"_to_, n'a, e-ná;",noun,,original,1,3
vocabulary,come here,ena' tachel,noun,,original,2,2
vocabulary,continuous wind,SpxweLe,noun,,original,2,1
vocabulary,cook,"_to cook on hot stones_, k'k'pak",noun,,original,1,6
vocabulary,cooked,"_it is cooked_ (""_done_""), kwül",noun,,original,1,5
vocabulary,copulate,"_to_, sün-nókh",noun,,original,1,2
vocabulary,cormorant,mäs-sitch,noun,,original,1,1
vocabulary,cougar,shwo′wa,noun,,original,1,1
vocabulary,cough,"_to_, ta′kwün",noun,,original,1,2
vocabulary,cover,"_to_, kle-hwés-tüng",noun,,original,1,2
vocabulary,crab,"bes-kwu, ä-chükh",noun,,original,1,2
vocabulary,crab apple tree,kükh-whétsh,noun,,original,3,1
vocabulary,cradle,pat′süts,noun,,original,1,1
vocabulary,crow,skwekwote,noun,,original,1,1
vocabulary,cry,"_I_, ho-ang′sün",noun,,original,1,2
vocabulary,cup,mem′tük'h,noun,,original,1,1
vocabulary,curlew,mük-mük-kwa,noun,,original,1,1
vocabulary,cut  with a knife,"_to_, shipt",noun,,original,4,2
vocabulary,cuttle fish,ské-mūk,noun,,original,2,1
vocabulary,dad,Man,noun,,original,1,1
vocabulary,dance,"_to_, koi-el′lish, kwi-é-lish",noun,,original,1,3
vocabulary,dark,klatch,noun,,original,1,1
vocabulary,dark grey,Q'exeL,noun,,original,2,1
vocabulary,daughter,ng-ün′na,noun,,original,1,1
vocabulary,daughter-in-law,skwá-lo-wis,noun,,original,1,1
vocabulary,dawn,Ta'tu,noun,,original,1,1
vocabulary,day,skwá-chil,noun,,original,1,1
vocabulary,dead,"kwái-i, ko-áikh",noun,,original,1,2
vocabulary,deep,klütsh,noun,,original,1,1
vocabulary,deep water bay,PisheLaqen,noun,,original,3,1
vocabulary,deer,"smis, smé-is, hōpt;",noun,,original,1,3
vocabulary,dewberry,skül-nu-whélsh,noun,,original,1,1
vocabulary,dig,"_to_, _roots in general_, pä-nükhw′, pän-hu;",noun,,original,1,6
vocabulary,dirty,tüng-hwäs′,noun,,original,1,1
vocabulary,dish,chawi,noun,,original,1,1
vocabulary,dishes,nu-wh'tsh-kwé-la,noun,,original,1,1
vocabulary,distinction made,as in the Nisqually._),noun,,original,2,4
vocabulary,dog,"sko-mái, ská-ha",noun,,original,1,2
vocabulary,dog fish,Sky'ekshen,noun,,original,2,1
vocabulary,dog salmon / chum,Quoloux,noun,,original,4,1
vocabulary,don't,kwe-ét,noun,,original,1,1
vocabulary,done/finished/complete,Hoy',noun,,original,1,1
vocabulary,door,"_also road_, satl",noun,,original,1,3
vocabulary,down,skái-us,noun,,original,1,1
vocabulary,dream,"_to_, kül-kül-la′sin",noun,,original,1,2
vocabulary,dress  a skin,"_to_, e′ükh",noun,,original,3,2
vocabulary,drink,"_to_, kâ-ko, nus-kâkh;",noun,,original,1,3
vocabulary,drum,"_to_, _as in conjuring or at dances_, kau-ä′tüng",noun,,original,1,8
vocabulary,drunk,"_foolish_, as-hwákw, äs-hwákw-tün",noun,,original,1,3
vocabulary,dry,sel′-üp,noun,,original,1,1
vocabulary,duck,spl-häntl;,noun,,original,1,1
vocabulary,dull,"_as a tool_, kül-lás",noun,,original,1,4
vocabulary,dusky grouse,ng'e′et,noun,,original,2,1
vocabulary,dwarf pine ( p. contorta ),kwákhwl-ch,noun,,original,6,1
vocabulary,eagle,kwelengsen,noun,,original,1,1
vocabulary,eagles,"golden eagle, kwül′-lüng-sen;",noun,,original,1,3
vocabulary,ear,kwül′lün,noun,,original,1,1
vocabulary,ear rings,sklau-ün,noun,,original,2,1
vocabulary,earth,"_the_, _land_, s'che-tung′a-whün, s'che-tüng-a-hüng;",noun,,original,1,4
vocabulary,east wind,Sches,noun,,original,2,1
vocabulary,eat,"_to_, it′lün, it′l'nkh;",noun,,original,1,3
vocabulary,ebb tide,hi-klatl'h,noun,,original,2,1
vocabulary,echo,sän-gün,noun,,original,1,1
vocabulary,eel,Lelesen,noun,,original,1,1
vocabulary,egg,"sn'lng-_á_nt, kwün-kwün-né",noun,,original,1,2
vocabulary,eight,"tas, tus-sä-la, tus-sält-hu",noun,,original,1,3
vocabulary,elbow,"_or knee-joint_, kl-yüt-sé-tün",noun,,original,1,3
vocabulary,elder,tsé-wükh,noun,,original,1,1
vocabulary,elder berry,Tsiweq',noun,,original,2,1
vocabulary,elder sister,á-lish;,noun,,original,2,1
vocabulary,elk,"kwáu-watsh, ky-yétsh, kai-yéts",noun,,original,1,3
vocabulary,end,"_the end of anything_, sä-ans",noun,,original,1,5
vocabulary,entrails,ük-khes,noun,,original,1,1
vocabulary,equisetum,"mäkhw, á-is-küd",noun,,original,1,2
vocabulary,evening,t'tang′en,verb/gerund,,original,1,1
vocabulary,every^1 thing^2,mükw^1 stang^2,noun,,original,2,2
vocabulary,exchange,"_to_, i-yakt′",noun,,original,1,2
vocabulary,excuse me,qwaelex,noun,,original,2,1
vocabulary,eye,kül′lüng,noun,,original,1,1
vocabulary,eyebrow,süng′ün;,noun,,original,1,1
vocabulary,face,sas,noun,,original,1,1
vocabulary,fairhaven,SiseLech,noun,,original,1,1
vocabulary,falcon,ts'ixw ts'exw,noun,,original,1,2
vocabulary,fall,PixweL,noun,,original,1,1
vocabulary,far,"chakw, chōkw",noun,,original,1,2
vocabulary,fart,"tük-snitch. _It is the common expression of disgust at anything,",noun,,original,1,10
vocabulary,fat,"_adj._, tlet-lük",noun,,original,1,2
vocabulary,father,män,noun,,original,1,1
vocabulary,father-in-law,slätl,noun,,original,1,1
vocabulary,fawn,stül-la,noun,,original,1,1
vocabulary,feathers,"stá-kw, sl'pal′kan",noun,,original,1,2
vocabulary,female,slá-ne,noun,,original,1,1
vocabulary,ferndale,Titisen,noun,,original,1,1
vocabulary,fetch,"_to_, an-ákhw",noun,,original,1,2
vocabulary,fierce animal,Q'etoseLnexw,noun,,original,2,1
vocabulary,file,"_a_, clük-hün;",noun,,original,1,2
vocabulary,finches ( generic ),tch-kwa′kwa;,noun,,original,4,1
vocabulary,find,"_to_, kwün′nüng",noun,,original,1,2
vocabulary,finger rings,hi-a′lüm-chis,noun,,original,2,1
vocabulary,fingers,chi-hals′,noun,,original,1,1
vocabulary,fins,ká-ting-üs,noun,,original,1,1
vocabulary,fir bark,t'chül-le,noun,,original,2,1
vocabulary,fir cones,ta-má-ku-küns,noun,,original,2,1
vocabulary,fir tree,"chül-li-íltsh, chül-chils′;",noun,,original,2,2
vocabulary,fire,chük-hós;,noun,,original,1,1
vocabulary,first,il-chä-la,noun,,original,1,1
vocabulary,fish,ETC.:,noun,,original,1,1
vocabulary,fish crow,sku-kwa′ta,noun,,original,2,1
vocabulary,fish weir,"_large_, s'chi-yäk;",noun,,original,2,2
vocabulary,five,"kl-kats, kl-kätch-sä-la, kütch-sält-hu",noun,,original,1,3
vocabulary,flea,tát-a-tlüm,noun,,original,1,1
vocabulary,flesh,"_meat_, slé-ükw",noun,,original,1,2
vocabulary,flicker ( p. mexic. ) tse′a,k't;,noun,,original,6,1
vocabulary,flood tide,küm′mül,noun,,original,2,1
vocabulary,flounder,o′we,noun,,original,1,1
vocabulary,fly,"_a_, i-kwül′lüng, kwil-lüng",noun,,original,1,3
vocabulary,fog,spi-á-hwün,noun,,original,1,1
vocabulary,food,"set-lün, sä-wün",noun,,original,1,2
vocabulary,foolish,as-hwäkw,noun,,original,1,1
vocabulary,foot,s'hün′na,noun,,original,1,1
vocabulary,foot-print,hün-nüug′en,noun,,original,1,1
vocabulary,for the brook trout,hu-má-na.),noun,,original,4,1
vocabulary,fore quarter,tä-los,noun,,original,2,1
vocabulary,forehead,skwang′us,noun,,original,1,1
vocabulary,fork,motsiseng,noun,,original,1,1
vocabulary,formerly,kwüt-li sil-la,noun,,original,1,2
vocabulary,four,"ng′oss, ni-s_á_-la, sält-hu",noun,,original,1,3
vocabulary,friend,klé-nük-wil;,noun,,original,1,1
vocabulary,frog,Wexes,noun,,original,1,1
vocabulary,from,Che,noun,,original,1,1
vocabulary,fruit of do.,ka-ákhw,noun,,original,3,1
vocabulary,full,hēts,noun,,original,1,1
vocabulary,fundament,kla-wákh,noun,,original,1,1
vocabulary,gadwal ( chaulelasmus ),shes′-sün-na,noun,,original,4,1
vocabulary,gall,müs-suns,noun,,original,1,1
vocabulary,game ( beaver teeth dice ),smi′-la-li,noun,,original,6,1
vocabulary,get,"_to_, kwün′nüt;",noun,,original,1,2
vocabulary,get to work,Schay' ches,noun,,original,3,2
vocabulary,girl,"st-hlá-ni, sln-chá-atl",noun,,original,1,2
vocabulary,give,"_to_, (_to give as a present_), üng-us;",noun,,original,1,7
vocabulary,gizzard,s'he′a-kwüns,noun,,original,1,1
vocabulary,gloves,"ts'-kwá-lit-cha, no-sé-sin",noun,,original,1,2
vocabulary,gnat,chetsks,noun,,original,1,1
vocabulary,go,"_to_, h'ya;",verb,,original,1,2
vocabulary,golden eagle,cheskwin,noun,,original,2,1
vocabulary,golden eye ( clangula ),hül-hül-lül′o-witl,noun,,original,5,1
vocabulary,good,aikh,noun,,original,1,1
vocabulary,goodbye (leaving),Hoy'kwche,noun,,original,2,1
vocabulary,goodbye (staying),Hoy'ekw,noun,,original,2,1
vocabulary,goose,exe,noun,,original,1,1
vocabulary,gooseberry,küm-kwéltsh,noun,,original,1,1
vocabulary,gooseberry point,Tamxwiqsen,noun,,original,2,1
vocabulary,grandfather,cha-mok,noun,,original,1,1
vocabulary,grandmother,sé-la,noun,,original,1,1
vocabulary,grandparent,Sile,noun,,original,1,1
vocabulary,grass,s'hüs-sái,noun,,original,1,1
vocabulary,grave,"_serious_, ōkw-hüm′",noun,,original,1,2
vocabulary,great,"hai-yikh′, ke-yikh′",noun,,original,1,2
vocabulary,great grandparent,Chomekw,noun,,original,2,1
vocabulary,grebes ( podiceps ),"skūl-küls′, hwa′nitsh, hwüt-tis",noun,,original,4,3
vocabulary,green,"ni-tlüt′h, nük-wai",noun,,original,1,2
vocabulary,grey haired,süts-üm-mékhw,noun,,original,2,1
vocabulary,gristle of vertebræ,kwa-á-lüs,noun,,original,3,1
vocabulary,grizzly,kwái-et-chin,noun,,original,1,1
vocabulary,grizzly bear,Kwey'etchen,noun,,original,2,1
vocabulary,ground robin,tül-tülk-si-nün;,noun,,original,2,1
vocabulary,grunter,Sqwa',noun,,original,1,1
vocabulary,guillemot ( uria ),"sko-kwa-kwüts, ko-kōkh-küts",noun,,original,4,2
vocabulary,gulls,"large kinds, kwün-né;",noun,,original,1,3
vocabulary,gum,"_resin_, _light wood_, smá-nitsh",noun,,original,1,4
vocabulary,gun,"_north west musket_, pú-yük (pu, _the sound of a gun_);",noun,,original,1,10
vocabulary,gunpowder,kwälkh;,noun,,original,1,1
vocabulary,ha-áls,"_the principal super natural being, equivalent to_ Hun-né _of",noun,,original,1,9
vocabulary,hail,klüm-whái-la,noun,,original,1,1
vocabulary,hair,si-at′tün,noun,,original,1,1
vocabulary,half,kl-chükh′,noun,,original,1,1
vocabulary,halibut,So'tx,noun,,original,1,1
vocabulary,hammer,"_to_, h'kwüs′chis;",noun,,original,1,2
vocabulary,hand,sa′lüs,noun,,original,1,1
vocabulary,handle,kült-shé-nün,noun,,original,1,1
vocabulary,hare,ské-ka-was,noun,,original,1,1
vocabulary,hawk,pa'als,noun,,original,1,1
vocabulary,hawks,"pa-áls, tsekhw-tsükhw, tül-kwe′mitl, tsi-ha-litsh;",noun,,original,1,4
vocabulary,he,"nekhl, nitlkh",noun,,original,1,2
vocabulary,he ( that one ),"nel, nitlh",noun,,original,5,2
vocabulary,head,"s-kwáng-i, skwâng-i",noun,,original,1,2
vocabulary,hear,"_to_, chis′a-lan",noun,,original,1,2
vocabulary,heart,"st-sá-la, tsá-la",noun,,original,1,2
vocabulary,heavy,hüm,noun,,original,1,1
vocabulary,hello,Now',noun,,original,1,1
vocabulary,hemlock spruce ( abies ---- ---- ),s'ke-éltch,noun,,original,7,1
vocabulary,here,ti-á-kwu,noun,,original,1,1
vocabulary,herring,slang-üt,verb/gerund,,original,1,1
vocabulary,herring roe,ché-mäsh,noun,,original,2,1
vocabulary,high,ses'l,noun,,original,1,1
vocabulary,high tide,küm-küm′mül,noun,,original,2,1
vocabulary,his gun,tsä-ka po-yük,noun,,original,2,2
vocabulary,hone,"_or whetstone_, shu-táks",noun,,original,1,3
vocabulary,honeysuckle,"kat-kat-éltsh, saltsh; (_the leaves are chewed as a",noun,,original,1,8
vocabulary,hoofs,kwâ-nüngs,noun,,original,1,1
vocabulary,horns,tses′tün,noun,,original,1,1
vocabulary,horse,stük-ké-u,noun,,original,1,1
vocabulary,horse clam,Swam,noun,,original,2,1
vocabulary,house,á-lüng;,noun,,original,1,1
vocabulary,how,_how shall I do it?_ swün-né-üng-set ti-á?,noun,,original,1,7
vocabulary,hu-má-ni,_salmon fry._ (_This last word suggests the Spokane word,noun,,original,1,9
vocabulary,huckleberry,Spixw',noun,,original,1,1
vocabulary,humming bird,sxwexwetcheli,noun,,original,2,1
vocabulary,hunchbacked,sko-mé-sin,noun,,original,1,1
vocabulary,hundred,"nat′so-itch, nat′so-wütsh",noun,,original,1,2
vocabulary,hungry,kwá-kwi,noun,,original,1,1
vocabulary,hunter,tsüm-á-mün-sa;,noun,,original,1,1
vocabulary,hunting bag,shit-t_á_-la,noun,,original,2,1
vocabulary,husband,n'stá-lush,noun,,original,1,1
vocabulary,husband's other wives,sái-ya,noun,,original,3,1
vocabulary,hün-nün,_the hump-backed salmon_ (_S. Proteus_);,noun,,original,1,5
vocabulary,i,us,noun,,original,1,1
vocabulary,i am from lummi,Che xwlemi sen,noun,,original,4,3
vocabulary,i'm good,Ey' sen,noun,,original,2,2
vocabulary,ice,"s'lel-lokh, sé-ma",noun,,original,1,2
vocabulary,iká,ni _of the Chinooks_,noun,,original,1,4
vocabulary,in,"_into_, nu-äs;",noun,,original,1,2
vocabulary,indians,"_people_, atl-tá-ling-hu",noun,,original,1,2
vocabulary,infant,"s'chi-chái-an, kük-ké, n's-chái-in",noun,,original,1,3
vocabulary,inner bark of do.,skwekhw,noun,,original,4,1
vocabulary,iron,küm-tüm′,noun,,original,1,1
vocabulary,island,"kl-chas, s'kwüs-sá, sk'-sas",noun,,original,1,3
vocabulary,jealous,sā-si-si,noun,,original,1,1
vocabulary,jump,Xwiteng,noun,,original,1,1
vocabulary,kamass rat ( neotoma ),ná-wit,noun,,original,5,1
vocabulary,kelp ( fucus gigantia ),kwá-ang,noun,,original,5,1
vocabulary,kettle,"_iron_, sklá-lup;",noun,,original,1,2
vocabulary,kick,"_to_, lüm-mat′",noun,,original,1,2
vocabulary,kidneys,sün-süns,noun,,original,1,1
vocabulary,kill,"_to_, k'châ-tükh, ku-chel′la",noun,,original,1,3
vocabulary,king fisher,s'shile,noun,,original,2,1
vocabulary,king salmon / chinook,Yomech,noun,,original,4,1
vocabulary,kingfisher,süs-she′la,noun,,original,1,1
vocabulary,kiss,"_to_, nükh-wh'm-kwóst",noun,,original,1,2
vocabulary,knife,shpál-tin;,noun,,original,1,1
vocabulary,know,"_to_, Do you know Ské-ükl? (_a man of that name?_) hüt-ché-tüs-hu",noun,,original,1,11
vocabulary,kwal-hu,"_S. canis_, SUCKLEY (_this name, it will be noticed, is",noun,,original,1,10
vocabulary,kwül-yauk,_salmon when exhausted by spawning_;,noun,,original,1,5
vocabulary,ké-ükh,_S. truncatus_?,noun,,original,1,2
vocabulary,kütch′küs  salmo scoulerí,RICHARDSON;,noun,,original,3,1
vocabulary,lake,s'weltsh,noun,,original,1,1
vocabulary,lance,st-kwái-itch,noun,,original,1,1
vocabulary,land otter,s'katl,noun,,original,2,1
vocabulary,land snail ( helix ),wük-kük'h,noun,,original,5,1
vocabulary,large,mokw,noun,,original,1,1
vocabulary,large clam ( lutraria ),swäm,noun,,original,5,1
vocabulary,large cottus,skün-nákhw,noun,,original,2,1
vocabulary,laugh,"_I_, nün-nái-yüng-sen",noun,,original,1,2
vocabulary,lazy,"sä′hüng, sakhw;",noun,,original,1,2
vocabulary,leaf,s'chá-sün,noun,,original,1,1
vocabulary,leap,"_to_, hwé-tüng",noun,,original,1,2
vocabulary,leaves,sats-tlá,noun,,original,1,1
vocabulary,leg,"slá-hütsh, ská-kün;",noun,,original,1,2
vocabulary,lend,"_to_, ä-yil",noun,,original,1,2
vocabulary,liar,kai-yá-kan,noun,,original,1,1
vocabulary,lichens,küt-che,noun,,original,1,1
vocabulary,lie,"_I_, hukh-kái-ya-kün",noun,,original,1,2
vocabulary,light,"_adj._, stá-tu",noun,,original,1,2
vocabulary,light blue,Ney'eq,noun,,original,2,1
vocabulary,lightning,"cha-á-kwa-chük, cha-küts-o-kikh",verb/gerund,,original,1,2
vocabulary,lights,spül′hu,noun,,original,1,1
vocabulary,like,shün-ángs,noun,,original,1,1
vocabulary,line up,tenest,noun,,original,2,1
vocabulary,ling cod,Y'yet,noun,,original,2,1
vocabulary,liquorice fern ( an expectorant ),klüs-síp,noun,,original,6,1
vocabulary,listen,"_imp._, ni-hwú-i-yan",noun,,original,1,2
vocabulary,live at,"_to_, läksi; (_this word appears to be the equivalent of the",noun,,original,2,11
vocabulary,liver,t'ä-kas,noun,,original,1,1
vocabulary,liverworts,mükh′tül-lüs;,noun,,original,1,1
vocabulary,long,"_in dimension_, klä-kut",noun,,original,1,3
vocabulary,look out! kwá,la,noun,,original,3,1
vocabulary,looking glass,"skwo-ná-süng, sku-ko-ná-süng, hu-ku-ná-sing;",noun,,original,2,3
vocabulary,loon,swakwen,noun,,original,1,1
vocabulary,loons ( colymbus ),"swa′kwün, hwekhw-kwüs",noun,,original,4,2
vocabulary,lose,"_to_, ek-kwa",noun,,original,1,2
vocabulary,louse,nüs′sün,noun,,original,1,1
vocabulary,love,"_to_, nūs-tlé, nis-klé",noun,,original,1,3
vocabulary,low tide,sham′shüm,noun,,original,2,1
vocabulary,lower joint of do.,s'hün-nüs,noun,,original,4,1
vocabulary,lummi,Xwlemi,noun,,original,1,1
vocabulary,lummi bay,MomLi,noun,,original,2,1
vocabulary,lummi island,Smemiekw,noun,,original,2,1
vocabulary,lynx,sküts-a′müs,noun,,original,1,1
vocabulary,magic,"_conjuring_, ch'si-ó-wün;",noun,,original,1,2
vocabulary,magpie,s'hün′nün,noun,,original,1,1
vocabulary,make,"_to_, chai;",verb,,original,1,2
vocabulary,make a fire,Chekwiws,verb,,original,3,1
vocabulary,mallard ( a. boschas ),ti-nük-sen,noun,,original,5,1
vocabulary,mallard duck,teneksen,noun,,original,2,1
vocabulary,mammals,_parts of_:,noun,,original,1,2
vocabulary,man,swé-yi-ka,noun,,original,1,1
vocabulary,many,"n'gann, n'gün;",noun,,original,1,2
