english,lummi
ARROW,yitcht
ASHES,kwái-chp
AT,"_to be at_, lä-si _or_ lak-si;"
Atlas joint,kük-kak-w'chis
Aunt,shé-ilsh
Aunt / Uncle,Sa'ch's
Aunt or Uncle,Sachs
Autumn,"chits-at-lin, tsa-whéngst"
Axe,Qw'qwem
AXE,"ku′küm. (küm-müt, _to chop_.)"
BACK,"_the_, stas-kwitl"
Back,Staskwelh
BAD,"h'äs, s'häs"
BAG _or sack_,chu-kwal′
BAIL A BOAT,"_to_, chi-kwást;"
BALD,ko′a-lekw
bald eagle,yükh-wül-la
Barberry,skwâ-cha-sitsh
BARK,"_of the fir_, chül′li;"
Barnacle,süm-mai-ya
Barnacles,Tsemie
BASKET,"_potato basket_, kl-päk;"
Bat,Lhelhp'elaxen
BE,"_to_, _See ""at,"" ""live.""_"
Beach Birds,"small snipe (_?generic_), pel-latsh, skeks"
BEADS,"_large blue kind_, shkwe′-kwün;"
Beak,nük′sünsh (v. _nose_)
BEAR,"_black_, schüt′hün;"
Bear,"black, späs"
BEARD,kwin′s'n;
BEAVER,skül-láu
Beaver,Skelaw'
Beaver,skül-lá-u
Beetle,Hetso
Before,CheLaLi
BEFORE (_in point of time_),kwül-hés-lüt-sin
Bellingham,Xwotqwem
BELLY,"kwül′la, kläs"
Belly Button,Mexwie
BELOW,kläkhl
Berries,SeLhteneng
Berries of do.,p'pi-kái-yas
Berries of do.,kül-lük
Big horn (_ovis montana_),kwe-kwüt-chen
big sea urchin,Xaox
Birch,kats-ül′tch
Birch Bay,Ts'awex
Birch Tree,Kats'-ilhch
BIRD,"_water fowl_, mo′ōk;"
BIRDS,_parts of_:
BITE,"_to_, tsing-ut-tüng"
black,Neq'ax
Black,nük-kikh
BLACK,nük-kikh
Black,Neqax
Black Bear,Schetxwen
Black Cap,Chilqwome
Blackberries,SqeLaLnexw
BLANKET,"_feather blanket_ (_a native manufacture_), stüm-mo-whitl;"
BLAZE,"_to_, hu-tâ-ku"
BLIND,klä-litsh
blonde,nep'xwiqw
Blood,Saschin
BLOOD,säs-tchin
BLOW _with the breath_,"_to_, pa′-hwt;"
blue,chiyeoles
Blue,Chie' oLes
Blue,chi-á-lis;
BLUE,chi-á-lis;
Blue berry,MoLsem
blue heron,snekwe
blue jay,chie
Blue Jay,chi-ya
BOARD,"_planks_, sél-to"
Bob Cat,Kwechpish
BOIL,"_to_, kwül-lüs′"
BONE,"sōm, s'ham"
Bone,Ts'om
Boogers,Smeteksen
BORE,"_to_, _as with a gimlet_, slük′-wüt, nük-slük′wüt"
BOSOM (_female_),sküm′ma
Both do.,skül′la-hans
BOW,tsá-cha-sen
BOWSMAN,"_of canoe_, he′u"
BOX _or chest_,kla-yüks
BOY,"s'ch-chi-álkh, schi′atl, stet-látkl"
BRACELETS,"_of brass wire_, tsa-met-chin"
Brain,Smetsq'en
Brain,smet-küs
Brake fern,sük-ka-an′
brandt,lholi
Brant (_Bernicla_),"hül-hül′tsh, hül-hül′cha"
BREAD,"_baked_, tau′ükh"
Bread,Seplil
BREAK,"_to_, (_broken_), ti-kwüt-tüng"
BREAST (_chest_),tsüng′ütl
Breeze,PexwiLe
BRING,"_to_, an-ákh-hu"
BROAD,nükh-hwái-ük-w'tl
Brother,"_if older than the speaker_, shí-itlh;"
BROTHER,"_elder_, shi-itlkh;"
Brother-in-law,_idem (?)_
brown,nekwiem
Brown,Nekwiem
buck,"sist-ün, _i.e._ ""horned."""
buck,sist-ün
Bumble Bee,Ts'emts'emoye
BURN,"_I_, chükw′ sin;"
BURY,"_to_, (_to cache_), as-chá-nütl"
Busy,Ts'ats'ep
Butter clam,Soxwe
Butter Clam,Soxwe
Butterfly,KweLaxen
BUY,"_to_, (_to trade or barter_), hwái-üm;"
BYE AND BYE,o-wäs-hés
Calorhynchus,skwâ-ma
Canada Goose,ákh-ha
canadan goose,tl' aqweng
CANOE (_generic_),skwâlkh;
Canoe,Snekwelh
Canoe,Snekwlh
Canvass back (_Aythya_),hókh-ko-nitsh
CARRY,"_to_, süng-at′;"
Carrying Strap,Sengeten
Carve,Xetqweng
Catch,Shench
Cattail Mat,Slawen
Cat-tail rush,s_á_-kün
Cedar (_Thuja_),h'chá-chiltsh
CEDAR,"(_Thuja_), h'pai"
Cedar bark,shl-kōm
Cedar Tree,Xepey-ilhch
CERTAINLY,"_of course_, ho′wüs"
Chair,Xwetsawechen
Cherry Pt.,Xwechiexen
Chickadee (_Parus_),ts-ka-yis
CHIEF,si-ám
Child,Ngene
Chinook,"and probably in others, the word for ""thing"" is the same"
Chipmunk,Kwepichen
CHISEL,"_of stone_, sh-we′ükh"
Chiton,hül′lüng
CHOP WOOD,"_to_, küm′müt"
Ch'si′o-wün,"_a particular gift or capacity acquired by fasting, etc.,"
Chuckanut,Nexw T'chekenets
Clam Basket,Lhepat
Clam Chowder,Soxwe Lhop
CLEAR OFF,"_to_, (_of the weather_), s'ai-yüt-tung;"
Clear Skies,Ey' iLeng
CLEAR SKY,shu-ewk'h-hu
CLOTH,"_calico_, as-hálkh (_i.e. ""figured""_);"
CLOUDS,spa′hu;
COAL,"_stone coal_, pe′chit"
COALS _of fire_,chtist
COAT,snu-éks
Cockle (_cardium_),sk′läm
Cockle Clam,SLho'em
Cod,ait
Cod Lure,Qwe'aq'ep
Cod Lure,Kwe'aq'ep
Cold (Weather),Ts'ixweng
Cold (Person),Ts'olheng
Color,Q'etLe
Come,Ena'
COME,"_to_, n'a, e-ná;"
Confused,Milech
Continuous wind,SpxweLe
COOK,"_to cook on hot stones_, k'k'pak"
Cook by the fire,Sqweleng
COOKED,"_it is cooked_ (""_done_""), kwül"
COPULATE,"_to_, sün-nókh"
Cormorant,mäs-sitch
Cotton Wood,Qwi'aylish-ilhch
Cougar,Shwowe
Cougar,shwo′wa
COUGH,"_to_, ta′kwün"
Count,Kweseng
COVER,"_to_, kle-hwés-tüng"
Crab,Atchx
Crab,"bes-kwu, ä-chükh"
Crab apple tree,kükh-whétsh
CRADLE,pat′süts
crow,skw' kwote
Crow,Skwekwote
CRY,"_I_, ho-ang′sün"
CUP,mem′tük'h
Curlew,mük-mük-kwa
CUT _with a knife_,"_to_, shipt"
Cuttle fish,ské-mūk
Daddy Long Legs,Q'esq'seLe
Dance,Kwi'aylesh
DANCE,"_to_, koi-el′lish, kwi-é-lish"
Dark,Lhach
DARK,klatch
Dark Grey,Q'exeL
dark grey,q'exel
DAUGHTER,ng-ün′na
Daughter-in-law,skwá-lo-wis
Dawn,Ta'tu
DAY,skwá-chil
DEAD,"kwái-i, ko-áikh"
DEEP,klütsh
Deep Water Bay,PisheLaqen
Deer,smé-yis
Deer,Smey'es
DEER,"smis, smé-is, hōpt;"
Dewberry,skül-nu-whélsh
Did you go?,Ya' -Le-e-sxw
Did you go?,Ya' -le-e-sxw
Did you go across?,Ya' -Le-e-sxw ShoqweL
Did you go today?,Ya' -le-e-sxw etiekey'es
Did you make it?,Chay'-s -e-sxw
DIG,"_to_, _roots in general_, pä-nükhw′, pän-hu;"
Digging stick,Sqelex
Dip net,Qwolechen
Dip Net,Qwolechen
DIRTY,tüng-hwäs′
DISHES,nu-wh'tsh-kwé-la
distinction made,as in the Nisqually._)
Do you want some of the,En stli e tse
Dog,skó-mai
DOG,"sko-mái, ská-ha"
Dog fish,Sky'ekshen
Dog Salmon / Chum,Quoloux
Done/Finished/Complete,Hoy'
DON'T,kwe-ét
DOOR,"_also road_, satl"
Down,skái-us
Dragon Fly,LhinLhinie
DREAM,"_to_, kül-kül-la′sin"
DRESS _a skin_,"_to_, e′ükh"
DRINK,"_to_, kâ-ko, nus-kâkh;"
DRUM,"_to_, _as in conjuring or at dances_, kau-ä′tüng"
DRUNK,"_foolish_, as-hwákw, äs-hwákw-tün"
DRY,sel′-üp
Duck,Moekw
DUCK,spl-häntl;
DULL,"_as a tool_, kül-lás"
Dusky Grouse,ng'e′et
Dwarf pine (_P. contorta_),kwákhwl-ch
Eagle,Kwelengsen
Eagles,"golden eagle, kwül′-lüng-sen;"
EAR,kwül′lün
EAR RINGS,sklau-ün
Ears,Kwelen
EARTH,"_the_, _land_, s'che-tung′a-whün, s'che-tüng-a-hüng;"
Earth Worm,Teng Ngaxw
East wind,Sches
Eat,ilhen
EAT,"_to_, it′lün, it′l'nkh;"
Ebb tide,hi-klatl'h
ECHO,sän-gün
Eel,Lelesen
EGG,"sn'lng-_á_nt, kwün-kwün-né"
EIGHT,"tas, tus-sä-la, tus-sält-hu"
ELBOW,"_or knee-joint_, kl-yüt-sé-tün"
Elbow / Knee,Tly'sisten
Elder,tsé-wükh
Elder berry,Tsiweq'
Elder sister,á-lish;
Elk,"kwá-watsh, kai-yéts"
ELK,"kwáu-watsh, ky-yétsh, kai-yéts"
Elk,Kwawach
END,"_the end of anything_, sä-ans"
Entrails,ük-khes
Equisetum,"mäkhw, á-is-küd"
Evening,Tengen
EVENING,t'tang′en
EVERY^1 THING^2,mükw^1 stang^2
EXCHANGE,"_to_, i-yakt′"
Extended Family,Sxwoleqwe
EYE,kül′lüng
Eye lashes,Lhepten
EYEBROW,süng′ün;
Eyebrows,Sengen
Eyes,Kelen
Face,Sos
FACE,sas
Facial Hair,Kwinsen
faded,kwachel
Fairhaven,SiseLech
Falcon,Ts'ixw Ts'exw
Fall,PixweL
FAR,"chakw, chōkw"
FART,"tük-snitch. _It is the common expression of disgust at anything,"
Fat,nas
FAT,"_adj._, tlet-lük"
Father,män
FATHER,män
Father-in-law,slätl
fawn,stül-la
Feathers,"stli-päl-kan, stakw"
FEATHERS,"stá-kw, sl'pal′kan"
FEMALE,slá-ne
Ferndale,Titisen
FETCH,"_to_, an-ákhw"
Fierce animal,Q'etoseLnexw
FILE,"_a_, clük-hün;"
Finches (_generic_),tch-kwa′kwa;
FIND,"_to_, kwün′nüng"
FINGER RINGS,hi-a′lüm-chis
Fingernail,Ch'sho'lts
FINGERS,chi-hals′
Fingers,Chey'hols
Finished,Hoy'
Fins,ká-ting-üs
Fir bark,t'chül-le
Fir cones,ta-má-ku-küns
FIR TREE,"chül-li-íltsh, chül-chils′;"
Fir tree,Cheli-ilhch
Fire,Chekos
FIRE,chük-hós;
Fire Fly,Tokw Tokw
FIRST,il-chä-la
FISH,ETC.:
FISH,_parts of_:
Fish Crow,sku-kwa′ta
Fish Trap,Schiak
FISH WEIR,"_large_, s'chi-yäk;"
Fishing,Soyeq'
FIVE,"kl-kats, kl-kätch-sä-la, kütch-sält-hu"
Five,Lhqachs
Five sheep,"Lhqachs lemetu"""
FLEA,tát-a-tlüm
Flea,T'ot'Lhem
FLESH,"_meat_, slé-ükw"
flicker (_P. Mexic._) tse′a,k't;
Flood tide,küm′mül
Flounder,o′we
Flounder,Powi'
Flounder spear,wechinep
FLY,"_a_, i-kwül′lüng, kwil-lüng"
FOG,spi-á-hwün
Fog,Spaxweng
FOOD,"set-lün, sä-wün"
FOOLISH,as-hwäkw
FOOT,s'hün′na
Foot / Leg,Sxene
FOOT-PRINT,hün-nüug′en
for the brook trout_,hu-má-na.)
Fore quarter,tä-los
Forehead,Sqwanges
FOREHEAD,skwang′us
Forest,Sq'elalnexw
Fork,Motsiseng
FORMERLY,kwüt-li sil-la
Four,Ngos
FOUR,"ng′oss, ni-s_á_-la, sält-hu"
FRIEND,klé-nük-wil;
Friend / Relative,Schache
Friend or Relative,Schache
Friends / Relatives,Schaleche
Friends or relatives,Schaleche
Frog,Wexes
From,Che'
Frost,Xixen
Fruit of do.,ka-ákhw
FULL,hēts
FUNDAMENT,kla-wákh
Future tense,-Se-
Gadwal (_Chaulelasmus_),shes′-sün-na
Gall,müs-suns
GAME (_beaver teeth dice_),smi′-la-li
Gathering,Q'epteng
Get,Kwenet
GET,"_to_, kwün′nüt;"
ghost owl,spel' qwoy' tse
GIRL,"st-hlá-ni, sln-chá-atl"
GIVE,"_to_, (_to give as a present_), üng-us;"
Gizzard,s'he′a-kwüns
GLOVES,"ts'-kwá-lit-cha, no-sé-sin"
GNAT,chetsks
GO,"_to_, h'ya;"
Go,Ya'
Golden Eagle,Cheskwin
Golden eye (_Clangula_),hül-hül-lül′o-witl
Good,Ey'
GOOD,aikh
Good afternoon,Ey' Skwey'el
Good bye (Staying),Hoy'ekw
Good bye (Leaving),Hoy'kweche
Good Evening,Ey' Tangen
Good morning,Ey' skwechil
Good morning,Ey skwechil
Good night,Ey' Snat
Goodbye (Leaving),Hoy'kwche
Goodbye (Staying),Hoy'ekw
Gooseberry,Temxw
Gooseberry,küm-kwéltsh
Gooseberry Point,Tamxwiqsen
Grand Child,Inges
Grandchild,Inges
Grandfather,cha-mok
Grandmother,sé-la
Grandparent,Sile
Grandson,Tsonekw
Grass,Sxwxwey'
GRASS,s'hüs-sái
Grasshopper,Xwetemeya'ets
GRAVE,"_serious_, ōkw-hüm′"
GREAT,"hai-yikh′, ke-yikh′"
Great Grandparent,Chomekw
Great Great Grandparent,Ekwiekw
Great Great Great Grandparent,Ts'epiekw
Grebes (_Podiceps_),"skūl-küls′, hwa′nitsh, hwüt-tis"
GREEN,"ni-tlüt′h, nük-wai"
Green,NetL'eLh
green,netL'elh
Green,"ni-tlut'h, nük-wái"
greenish yellow,tse'popel
grey,nexw ikw
Grey Hair,Sets'emekw
GREY HAIRED,süts-üm-mékhw
Gristle of vertebræ,kwa-á-lüs
grizzly,kwái-et-chin
grizzly bear,Kwey'etchen
ground robin,tül-tülk-si-nün;
grouse,skwets
Grunter,Sqwa'
Guillemot (_Uria_),"sko-kwa-kwüts, ko-kōkh-küts"
Gulls,"large kinds, kwün-né;"
GUM,"_resin_, _light wood_, smá-nitsh"
GUN,"_north west musket_, pú-yük (pu, _the sound of a gun_);"
GUNPOWDER,kwälkh;
HAIL,klüm-whái-la
Hail,Tl'emxwile
Hail,TLemxwiLe
Hair,s'chais
Hair,Siaten
HAIR,si-at′tün
HALF,kl-chükh′
Halibut,So'tx
HAMMER,"_to_, h'kwüs′chis;"
Hand,Sales
HAND,sa′lüs
HANDLE,kült-shé-nün
Hare,ské-ka-was
Hawks,"pa-áls, tsekhw-tsükhw, tül-kwe′mitl, tsi-ha-litsh;"
Hazel nut tree,Q'epox-ilhch
Ha-áls,"_the principal super natural being, equivalent to_ Hun-né _of"
HE,"nekhl, nitlkh"
He (_that one_),"nel, nitlh"
Head,Sqwongi
HEAD,"s-kwáng-i, skwâng-i"
HEAR,"_to_, chis′a-lan"
HEART,"st-sá-la, tsá-la"
Heart,Ts'ale
Heart,tsá-la
Heart,tsä-li
HEAVY,hüm
Hello,Now'
Hemlock spruce (_Abies ---- ----_),s'ke-éltch
Hemlock Tree,Skwaken-ilhch
HERE,ti-á-kwu
Herring,SLho'nget
Herring,slang-üt
Herring Rake,Lhetemen
herring roe,ché-mäsh
HIGH,ses'l
High tide,küm-küm′mül
High Tide,Q'emel
His gun,tsä-ka po-yük
History,Sxwiam che sxano his
Hit,Ts'set
HONE,"_or whetstone_, shu-táks"
Honeysuckle,"kat-kat-éltsh, saltsh; (_the leaves are chewed as a"
Hoofs,kwâ-nüngs
Hook,Lhikwen
Hooligan,Tiokowe
Horns,tses′tün
Horse,stük-ké-u
Horse Clam,Swam
Horse clam,Swam
HOUSE,á-lüng;
HOW,_how shall I do it?_ swün-né-üng-set ti-á?
How are you?,Esxwening-e-sxw
How are you?,U' ey' -e-sxw-ol
How is my grand child,Esxwening ne inges
How is your family?,U' esxwening en schaleche
How/Why,Esxwening
Huckleberry,Spixw'
humming bird,sxw' xwetcheli
hu-má-ni,_salmon fry._ (_This last word suggests the Spokane word
HUNCHBACKED,sko-mé-sin
HUNDRED,"nat′so-itch, nat′so-wütsh"
HUNGRY,kwá-kwi
Hungry,Kwakwi
HUNTER,tsüm-á-mün-sa;
Hunting,Emning
Hunting at Sea,Piotes
HUNTING BAG,shit-t_á_-la
HUSBAND,n'stá-lush
Husband,"my, n'stá-lüsh"
Husband's other wives,sái-ya
hün-nün,_the hump-backed salmon_ (_S. Proteus_);
I,us;
I,us
I am 14 years old,O'pen i' tse ngos chelanen sen
I am 15 years old,O'pen i'tse Lhqachs chelanen sen
I am going to go to work,Schay' -se-sen
I am going to go to work today.,Schay' -se- sen etiekey'es
I am just good,U' ey' sen-ol
I am speaking the Lummi language,Qwal sen tse Xwlemi' chosen
I come from the survivors of the great flood,Che sheshwe wheleq' sen
i have eight shoes,Kwesien sen ta'as stL'eqshen
I hear eighty ducks,Xwian -le- sen ta'aseLh-sha' moekw
I hear thirty sea guls,Xwian -le- sen Lhexw-Sha' Kweni'
I like the snow,Ne stli' tse chiekw
I made 50 fry breads,Chay' -le- sen LhqeLh-sha' Chekwexen speLiL
I made eleven cat tail mats,Chay' -le- sen o'pen i'tse nets'e slawen
I need four breads,ne stLi' ngos sepLiL
i need ninety dollars,Ne stLi' tekweLh-Sha'-altxw
I need the,ne stli tse
I or Me,Sen
I see a thousand salmon,Langet -le- sen sepanech schaenxw
i see forty geese,Langet -le- sen ngeseLh-sha' TL'aqweng
i see hundred deer,langet -le- sen nachewech smeyes
I see seven cows,Langet -le- sen ts'okws Mus Mus
I see sixty eagles,Langet -le- sen texemeLh-sha' Kwelengsen
i see ten rabbits,Langet -le- sen o'pen hepit
I see the snow,Langet sen ngake
i want one king salmon,Ne stLi' nets'e yomech
i want two crab,Ne stLi' chese atchx
ICE,"s'lel-lokh, sé-ma"
Ice,Slhelexw
Iká,ni _of the Chinooks_
I'll see you later,Lang-nexw sen se
I'm going now,Kw'- Ya' sen
I'm good,Ey' sen
I'm speaking,Qwal sen
IN,"_into_, nu-äs;"
(_In the Simiamoo dialect_,"é-kwüt; _to throw away with violence_,"
INDIANS,"_people_, atl-tá-ling-hu"
INFANT,"s'chi-chái-an, kük-ké, n's-chái-in"
Inner bark of do.,skwekhw
IRON,küm-tüm′
ISLAND,"kl-chas, s'kwüs-sá, sk'-sas"
It is good to see you,ey' kw-ens langnonget
It might snow,Hochte -se- chiekw
It snowed yesterday,Chiekw -le- kw'chelaq'lh
It's going to snow,Chiekw -se- kw'kwey'eles
It's snowing now,Kwel chiekw-s
JEALOUS,sā-si-si
Jump,Xwiteng
Kamass rat (_neotoma_),ná-wit
Kelp (_fucus gigantia_),kwá-ang
KETTLE,"_iron_, sklá-lup;"
KICK,"_to_, lüm-mat′"
Kidneys,sün-süns
KILL,"_to_, k'châ-tükh, ku-chel′la"
king fisher,s' shile
King Salmon / Chinook,Yomech
Kingfisher,süs-she′la
KISS,"_to_, nükh-wh'm-kwóst"
Knife,Shipen
KNIFE,shpál-tin;
KNOW,"_to_, Do you know Ské-ükl? (_a man of that name?_) hüt-ché-tüs-hu"
kwal-hu,"_S. canis_, SUCKLEY (_this name, it will be noticed, is"
kwül-yauk,_salmon when exhausted by spawning_;
ké-ükh,_S. truncatus_?
kütch′küs _Salmo scoulerí_,RICHARDSON;
Lady Bug,Lhetses
LAKE,s'weltsh
LANCE,st-kwái-itch
Land otter,s'katl
Land snail (_helix_),wük-kük'h
LARGE,mokw
large clam (_Lutraria_),swäm
Large cottus,skün-nákhw
LAUGH,"_I_, nün-nái-yüng-sen"
LAZY,"sä′hüng, sakhw;"
LEAF,s'chá-sün
LEAP,"_to_, hwé-tüng"
Leaves,sats-tlá
LEG,"slá-hütsh, ská-kün;"
Leg,sku-shüm-shins
LEND,"_to_, ä-yil"
Lets,Ista'
Lets go into the woods,Ista' song
Let's stand together.,Ista silheng-otel
LIAR,kai-yá-kan
Lichens,küt-che
LIE,"_I_, hukh-kái-ya-kün"
lift,Sa't
lifting,Sa'teng
LIGHT,"_adj._, stá-tu"
Light Blue,Ney'eq
light blue,ny'eq'
LIGHTNING,"cha-á-kwa-chük, cha-küts-o-kikh"
Lights,spül′hu
LIKE,shün-ángs
Ling cod,Y'yet
Lips,Slhosen
Liquorice fern (_an expectorant_),klüs-síp
LISTEN,"_imp._, ni-hwú-i-yan"
Little deer,Smemiyes
LIVE AT,"_to_, läksi; (_this word appears to be the equivalent of the"
Liver,t'ä-kas
Liver,stük′chüng
Liver,Taq'e
Liverworts,mükh′tül-lüs;
LONG,"_in dimension_, klä-kut"
Look,Langet
Look / See,Langet
LOOK OUT! kwá,la
LOOKING GLASS,"skwo-ná-süng, sku-ko-ná-süng, hu-ku-ná-sing;"
Loons (_Colymbus_),"swa′kwün, hwekhw-kwüs"
LOSE,"_to_, ek-kwa"
Lots of,Ngen tse
Louse,Ngesen
LOUSE,nüs′sün
LOVE,"_to_, nūs-tlé, nis-klé"
Low tide,sham′shüm
Lower joint of do.,s'hün-nüs
Lummi,Nexw XwLemi
Lummi Bay,MomLi
Lummi Island,Smemiekw
Lynx,sküts-a′müs
Lynx,Skets
Madrona Tree,Ko'kwi-ilhch
MAGIC,"_conjuring_, ch'si-ó-wün;"
Magpie,s'hün′nün
Make,Chay'
MAKE,"_to_, chai;"
Make a fire,Chekwiws
mallard,teneksen
Mallard (_a. Boschas_),ti-nük-sen
mallard hen,shesene
MAMMALS,_parts of_:
MAN,swé-yi-ka
MANY,"n'gann, n'gün;"
Maple (_A. macrophylla_),küm′ an-ilp
Maple Tree,Sq'emel-Ilhch
Marrow of legs,tüts-üsh′shins
MAT,slä′wün;
Meat,slé-ük
Meeting,Esq'aplh
MEND,"_to_, chüts-ül-kwüt′tün"
Merganser (_Mergus Am._),kwa-ōkw;
MERRY,nüks-né-ni
MIDDLE (_of length_),á-no-wüls
Mink,Chieqen
Mink,"kai-yakh, s'ché-a-kün"
"Mist, Light rain",LheLhemexw
MISTAKE,"_to_, _either in speech or on the road_, mäl-min"
Mole,spi-lá-wün
Mole,SpiLawen
MOLLUSCS,"RADIATES, ETC.:"
MOON,kl-káltsh
Moon,TLe'tLach
MORNING,skwá-chi
Morning,Skwechil
MOSQUITO,kwá-an
Mosquito,Qwaen
MOTHER,tān
Mother,tän
Mother-in-law,_idem_
MOUNTAIN (_same as rock_),sng-ánt
Mountain Blueberries,WhomeLes
Mountain goat (_aploceras_),"swét-le, pi-külkh-kan"
Mouse,Kw'kwaten
Mouse,kwa′tün
Mouth,Sosen
MOUTH,sá-sün
MOVE FARTHER,yi-hé-wül tül-lá;
Mt. Baker,KweLshan
MUCH,n'gun;
Mussel,Lhaoqem
Mussel (_Mytilus_),klâ-küm
My,ti-us;
My / Huh?,Ne
My canoe,nus-kwá n'shwâ-atl
My family is good,Ey' tse ne schaleche
My Me I Huh?,Ne
My nephew is silly,Skoti tie ne stikwen
N. W. and North,s'chá-yüm
NAILS,"t'sâls, chi-sá-lis"
NAKED,klüt-säng
NAME,s'nä;
name of a tribe on Fraser River,generally known as Maskwies_);
NAVEL,mük′h-hwoi-ye
NEAR,"kl-ké-a-ke, tüt-lé-kai, sti-talst′"
Neck,Tachsen
Neck,tatsh-süns
NEEDLE,chät′sün
NET,"_for catching ducks, etc._, tük′hüm;"
Net,Sxwelten
NEW,háu-wüs
Niece / Nephew,Stikwen
Niece or Nephew,Stikwen
NIGHT,snat
Night,Snat
NINE,"tük'hw, tük-whä-la, tük-whalt-hu"
nine animals,tekxw -ikw
Nisqually_ at-suts,"_and to be really an adverb signifying ""presence"""
NO,"a-wá, a-wükh′, ókh-wa"
NONE,"_there is none_, a-wün′na;"
Nooksack,Nexw Ts'aq
North wind,Schoy'em
NOSE,nük′sün
Nose,Ngeksen
NOSTRILS,skwá-lük-sen
NOW,"ti-a, ti-an′k'h"
OAK,s'chüng-altsh
octopus,Skamoux
Octopus,Skamoux
OFF SHORE,tâl
OLD,"tsa-küng, snük-kái;"
Older sibling,Shey'elh
One,Nets'e
ONE,"nüt-sa, nat′sa, tsak′wüt-hu"
or by incantation,similar to the Chinook tamánowas_
orange,kwiemel
Orange,KwiemeL
Oregon grape,Seni
Os calcis,kát-lin-süns
Oulakan (_thaleïchthys_),ti-a-ko-wa
Our country,tsá-kwün tüng′-hu
OUT DOORS,"sét-lüng (a′lüng, _a house_)"
Outside,Esaq'Lh
Owl,Cheitnexw
owl,chietnexw
Owls,"great horned owl, che′-tüng-hu;"
Oyster,klokh-klokh
Oyster,T'Lexw T'Lexw
Oyster Catcher (_hematopus_),swó-kük
PADDLE,"_to_, ist"
Paddle,Sqemel
pale do.,ni-hwekw
PAN,"_or plate_, lä-sün"
PANTALOONS,sük-ké-us
Parents,I'aleng
Past tense,-Le-
Paunch,spukh
Pencil fish,"_a small fish that comes in schools_, katl"
PENIS,shel-l_á_
PEOPLE,"_i.e._ _Indians_, atl-tá-ling-hu;"
PERHAPS,yükh-whá
Person of respect,Si'am
pigeon,hemo'
PIGEON,"h'mo, hüm-o'h"
Pigeon,hüm-ókh
PIN,"_a_, hüm-mén;"
Pink,Nesq' oLes
pink,nesqwo'les
Pink Salmon / Humpy,Henen
PIPE,päkw
Pitch or rosin,smá-nitsh
PLANE,"_to_ (_boards_), shé-shüb; (_probably by onomatopœia_)"
PLANT,"_to_, chin-eng-ütl"
PLANTS,ETC.: (_See also Trees._)
Plate,Chawi
Play,Emna'
Please pass me the,Lescheneges tse
PLENTY,n'gün
Plover,chit-hün-natsh′
POINT _of anything_,i-sük′sin
POOR,"_wretched_, sül-lá-wa"
Porcupine,Tse'TseLq'en
PORCUPINE QUILLS,tsüts-ül-kan
PORPOISE,kwá-nat
Portage,SiLes
possum,Sqelhten
Possum,Sq'eLhten
POSTS _for supporting the roof of a house_,kä-kan
Potatoe,Skaos
