lummi_sentence,english_sentence
(s-u-qeqalem-s).,Roth t and n(ex”) are suffixes which transitivize a
"Language"", IJAL 39.2 (1973), pp. 89-94.","""Certain types of subordinate sentences with pronominal"
10. nen? ti?s qiwx maq’-san  qiwx,10. are) lots (of) those steelhead fat-legged steelhead
13. ca x“téZem. 14. s-u-xen-é-t-s s?ey?éon-s,13. lonesome x”.  . 14. then told-he younger brother-
14. ye?-san-sa ye? len-t....?i? ne?-t-s se sJeni?-s,14. his go-I-will go (to) see...... and (he) named wife-his
15. ca s?ey?can-s yé?-san-so ?u? 7i? sewe.,1yc younger brother-his go-I-will along.
"18. 19. s-u-x3n-n-s ca x“tozem,","18. aground (on a bar). 19. then said XY. ,"
19. ?aw-sx” su-ene? Jel . 20. ho?-se,19. not-you come ashore. 20. if (there)-will (be)
23. 242 nid s-u-qWol-ndk“al-s.1) 24. his,23. sat and then (they) talked . 24. (it was a) long
"s-u-?it-tl®, 46. ?it-t 24? qdi-qel-osen 0a",(he) fell asleep. 46. (he) slept and dreamed about
stoms$-sa-sx” . Sl. nek” ca stomas tira,warrior-will (be)-you. 51. you the warrior this
Pan-s-x“-?e7a? . 52. nizZ ta s-u-xen-n-i-k“an-s ca,your-place here. 52. then thought
sxeloqst “ay? k” na-s-ye? x*tCost ye,Sx. good I go to take revenge (on) those
siwdy?qa?. 53. nil ta s-u-?ene?-s. 54. ?as-net,men . 53. then came (he) . 54. it was night
S-u-naw?-1?-l-n-s acé elan ?i? E€ok“-t-s ca,went inside-he the house and used-he
"60. s-x“-?aw-s, ?i? niJ-se?? Pan-tanax”, tira","60. not , then this-will (be) your land, this"
Kuipers (p. 120).,tlone form xen-é-t-s could also mean ‘he said it'. Con-
last one’.,It is perfectly fine in Lummi to attach the future
ti?s stolew?. 61. mok”-sa-sten ?u?,will (be) this river . 61. every-will thing
"?an-sk“e? . 62. s-u-x3n-n-s %a ca sxaldqst,","(be your possession. 62. then said Sx. ,"
"70? ?ey?, x“an-e?-n-sa . 63. ye?-san-sa","good, like this (it)-will (be). 63. go-I-will"
9 ti?a ?an-tanax” ?1? ca ?an-stolaw?.,(me) this your land and your river
"s-u-ten-s ca sxaloqst, 71? yss-os-t ca","then went home-he Sx.  , and told"
"niz éa s-u-qel ca s?alélax“, 71? xan-e-t-n","then believed (him) the parents , and (they) told"
65. s-?an-ténax” k” ?an-stolew?. 66. ?ené?-la-s ta,65. your-land your-river . 66. came-they
69. Ile? swelot. 70. ?ane?-t-n 3,69. there (at) Lopez. 70. (they) brought (them) to
"71. 72. 24? xYan-é?-n bo he? ?elalon,","71. Island. 72. and it's like this (about) the houses,"
75. nacewx29 76. niz x“-¢9-18? co s-ne?,75. other house. 76. that's from where (came} the name
"ca s-wet®® 2ané?, x”télom 24? ca s?ey?can-s","the persons come , x”, and younger brother-his,"
stéwax co ?ax“ilnex”. 85. gana éa,the raft-people - 8S. was covered with water
. wl? s 7 2 v -,"ti?a s€tanex“an 7i? niZ k” Ca s-u-ey-s 3 ca stewex,"
"93. mok’-wet ?u? x€it ce sxaloqst, k”","Warrior. 93. everybody knows Sx.  , that"
"?u? ne?-t-sen, ne?-t-la-sen ca ye?-s tal-t3s ye?",I name » hamed-f those who went
"96. sx“alx""alaq” nil",96. (am)-I the people who lived throughthe flood that's
97. sx“alx“3leq” » XeN-n ca,"97. the people who lived through the flood, says"
98. %se x%alx“Sleq’-son,98. from the people who lived through the flood (am)-I.
"99. &sa elo tire ?ax“ilnax”, Zéqemas.","99. from here (are) these people , the Zeqamas."
100. nil x“-%a-1é?-s . 101. 73? x“an-e?n,100. that's from where they (are). 101. and (it's) like
mak“-sa-wet ?u? ho? hlos » ?i? niz-sa,"everybody will when (they) look, and it will (be)"
"ca Yéqemas len-t-i-s, si?ém , si?em","the Léqame$ (that) see-they, high class, high class"
on,"this until the last one. 59. There, at the house at the end,"
